# file...... 1Meter_611_C_power.csv
# date...... Tue May 11 22:32:20 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_611_C_24:measured_power,house_meter_611_C_25:measured_power,house_meter_611_C_26:measured_power,house_meter_611_C_27:measured_power,house_meter_611_C_28:measured_power,house_meter_611_C_29:measured_power,house_meter_611_C_30:measured_power,house_meter_611_C_31:measured_power,house_meter_611_C_32:measured_power,house_meter_611_C_33:measured_power,house_meter_611_C_34:measured_power,house_meter_611_C_35:measured_power,house_meter_611_C_36:measured_power,house_meter_611_C_37:measured_power,house_meter_611_C_38:measured_power,house_meter_611_C_39:measured_power,house_meter_611_C_40:measured_power
2021-01-06 00:00:00 PST,+520.055+0.00244162d,+920.174+0.00433136d,+1080.24+0.00508514d,+2521.3+0.0118759d,+4684.51+0.0220846d,+720.106+0.00338934d,+7050.22+0.0332699d,+1080.24+0.00508514d,+760.118+0.00357773d,+1560.5+0.00734469d,+2120.92+0.00998469d,+2681.47+0.0126265d,+1792.66+0.00843819d,+2601.39+0.012249d,+1920.76+0.00904163d,+2080.89+0.00979606d,+2120.92+0.00998469d
2021-01-06 00:15:00 PST,+680.094+0.00318647d,+880.158+0.00412386d,+760.118+0.00356125d,+840.144+0.00393632d,+1520.47+0.00712583d,+800.131+0.00374878d,+1400.4+0.00656278d,+1000.2+0.00468655d,+760.118+0.00356125d,+2080.89+0.00978475d,+2040.85+0.00959634d,+8775.82+0.0413793d,+1709.4+0.00803671d,+3923.15+0.0184614d,+1800.66+0.00846611d,+2120.92+0.00997316d,+2160.96+0.0101616d
2021-01-06 00:30:00 PST,+640.084+0.00299875d,+720.106+0.00337325d,+1120.26+0.00524857d,+880.158+0.00412327d,+2160.95+0.0101287d,+640.084+0.0029983d,+880.158+0.00412327d,+640.084+0.0029983d,+840.144+0.00393575d,+5446.08+0.0256431d,+2000.82+0.00940764d,+2761.56+0.0129886d,+1720.61+0.00808918d,+2481.26+0.0116689d,+2801.61+0.0131772d,+2040.85+0.00959603d,+5887.11+0.0277248d
2021-01-06 00:45:00 PST,+680.094+0.00318144d,+1120.26+0.00524216d,+920.173+0.00430553d,+680.094+0.00318188d,+2040.85+0.00955361d,+560.064+0.00262018d,+1000.2+0.00468016d,+800.13+0.00374367d,+720.106+0.00336914d,+2040.85+0.00958062d,+2160.95+0.0101449d,+2200.99+0.0103331d,+1800.66+0.00845224d,+5365.9+0.0252241d,+5446.07+0.0256019d,+1960.79+0.00920446d,+2080.89+0.00976872d
2021-01-06 01:00:00 PST,+600.074+0.00281813d,+1000.2+0.00469639d,+800.131+0.00375665d,+960.189+0.00450843d,+1760.63+0.00826951d,+560.064+0.00262927d,+720.106+0.00338082d,+680.095+0.00319292d,+680.095+0.00319292d,+1520.47+0.00716174d,+5606.46+0.0264519d,+2040.85+0.00961489d,+2160.96+0.0101812d,+2601.39+0.0122585d,+2761.57+0.0130142d,+4083.42+0.019254d,+2120.92+0.00999243d
2021-01-06 01:15:00 PST,+720.106+0.00338469d,+800.131+0.00376145d,+840.145+0.00394962d,+1080.24+0.00507883d,+920.173+0.00432598d,+800.131+0.00376145d,+1960.79+0.00922212d,+720.106+0.00338514d,+640.084+0.00300886d,+2080.89+0.00982061d,+2761.57+0.0130367d,+2040.86+0.00963151d,+8615.3+0.040769d,+2721.52+0.0128474d,+1560.5+0.00736309d,+3843.04+0.0181501d,+2241.03+0.0105771d
2021-01-06 01:30:00 PST,+560.064+0.00261916d,+800.131+0.00374777d,+1080.24+0.00506036d,+920.173+0.00431025d,+800.131+0.00374777d,+3041.89+0.0142611d,+5165.45+0.0242379d,+920.173+0.00431025d,+960.188+0.00449777d,+1280.33+0.00600228d,+2841.65+0.0133303d,+2160.95+0.0101343d,+2481.26+0.011638d,+2761.56+0.0129542d,+1640.55+0.00769212d,+2040.85+0.0095706d,+2160.95+0.0101343d
2021-01-06 01:45:00 PST,+560.064+0.00261955d,+760.118+0.0035568d,+840.144+0.00393139d,+520.055+0.00243324d,+520.055+0.00243324d,+560.064+0.00262048d,+1240.31+0.0058049d,+1080.24+0.00505539d,+760.118+0.0035568d,+2160.96+0.010152d,+2841.65+0.0133536d,+4965.05+0.0233523d,+2641.43+0.0124117d,+3843.02+0.0180667d,+2761.56+0.0129768d,+2120.92+0.00996379d,+3322.26+0.0156152d
2021-01-06 02:00:00 PST,+2641.43+0.0123863d,+960.188+0.00449955d,+880.158+0.00412439d,+2120.92+0.0099436d,+520.055+0.0024366d,+720.106+0.00337417d,+840.144+0.00393682d,+720.106+0.00337417d,+600.073+0.0028116d,+1320.36+0.00620799d,+2241.03+0.0105407d,+2761.56+0.0129919d,+1920.76+0.00903314d,+3923.16+0.0184654d,+5285.73+0.0248927d,+2040.85+0.00959843d,+5005.14+0.0235686d
2021-01-06 02:15:00 PST,+640.084+0.00300036d,+960.188+0.00450555d,+800.131+0.00375426d,+3081.94+0.0144742d,+880.158+0.00412989d,+560.064+0.0026276d,+840.144+0.00394207d,+3162.05+0.0148508d,+600.074+0.00281535d,+5887.11+0.027745d,+2040.85+0.00960303d,+2080.89+0.00979157d,+1840.69+0.00866049d,+4524.2+0.0213099d,+2801.61+0.0131868d,+2000.82+0.0094145d,+2241.03+0.0105458d
