# file...... 1Meter_611_C_power.real.csv
# date...... Tue May 11 22:32:20 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_611_C_20:measured_power.real,house_meter_611_C_21:measured_power.real,house_meter_611_C_22:measured_power.real,house_meter_611_C_23:measured_power.real,house_meter_611_C_24:measured_power.real,house_meter_611_C_25:measured_power.real,house_meter_611_C_26:measured_power.real,house_meter_611_C_27:measured_power.real,house_meter_611_C_28:measured_power.real,house_meter_611_C_29:measured_power.real,house_meter_611_C_30:measured_power.real,house_meter_611_C_31:measured_power.real,house_meter_611_C_32:measured_power.real,house_meter_611_C_33:measured_power.real,house_meter_611_C_34:measured_power.real,house_meter_611_C_35:measured_power.real,house_meter_611_C_36:measured_power.real,house_meter_611_C_37:measured_power.real,house_meter_611_C_38:measured_power.real,house_meter_611_C_39:measured_power.real,house_meter_611_C_40:measured_power.real
2021-01-06 00:00:00 PST,6.8009e+002,1.0002e+003,1.0002e+003,1.4404e+003,5.2006e+002,9.2017e+002,1.0802e+003,2.5213e+003,4.6845e+003,7.2011e+002,7.0502e+003,1.0802e+003,7.6012e+002,1.5605e+003,2.1209e+003,2.6815e+003,1.7927e+003,2.6014e+003,1.9208e+003,2.0809e+003,2.1209e+003
2021-01-06 00:15:00 PST,8.0013e+002,8.0013e+002,8.0013e+002,3.7629e+003,6.8009e+002,8.8016e+002,7.6012e+002,8.4014e+002,1.5205e+003,8.0013e+002,1.4004e+003,1.0002e+003,7.6012e+002,2.0809e+003,2.0409e+003,8.7758e+003,1.7094e+003,3.9232e+003,1.8007e+003,2.1209e+003,2.1610e+003
2021-01-06 00:30:00 PST,6.8009e+002,1.0402e+003,3.6828e+003,9.6019e+002,6.4008e+002,7.2011e+002,1.1203e+003,8.8016e+002,2.1610e+003,6.4008e+002,8.8016e+002,6.4008e+002,8.4014e+002,5.4461e+003,2.0008e+003,2.7616e+003,1.7206e+003,2.4813e+003,2.8016e+003,2.0409e+003,5.8871e+003
2021-01-06 00:45:00 PST,1.1203e+003,1.4804e+003,7.6012e+002,1.1203e+003,6.8009e+002,1.1203e+003,9.2017e+002,6.8009e+002,2.0408e+003,5.6006e+002,1.0002e+003,8.0013e+002,7.2011e+002,2.0409e+003,2.1610e+003,2.2010e+003,1.8007e+003,5.3659e+003,5.4461e+003,1.9608e+003,2.0809e+003
2021-01-06 01:00:00 PST,6.8009e+002,3.8831e+003,8.4014e+002,1.6406e+003,6.0007e+002,1.0002e+003,8.0013e+002,9.6019e+002,1.7606e+003,5.6006e+002,7.2011e+002,6.8009e+002,6.8009e+002,1.5205e+003,5.6065e+003,2.0409e+003,2.1610e+003,2.6014e+003,2.7616e+003,4.0834e+003,2.1209e+003
2021-01-06 01:15:00 PST,5.6006e+002,8.0013e+002,1.0802e+003,2.1209e+003,7.2011e+002,8.0013e+002,8.4014e+002,1.0802e+003,9.2017e+002,8.0013e+002,1.9608e+003,7.2011e+002,6.4008e+002,2.0809e+003,2.7616e+003,2.0409e+003,8.6153e+003,2.7215e+003,1.5605e+003,3.8430e+003,2.2410e+003
2021-01-06 01:30:00 PST,3.6003e+002,1.0002e+003,8.8016e+002,1.1603e+003,5.6006e+002,8.0013e+002,1.0802e+003,9.2017e+002,8.0013e+002,3.0419e+003,5.1655e+003,9.2017e+002,9.6019e+002,1.2803e+003,2.8416e+003,2.1610e+003,2.4813e+003,2.7616e+003,1.6405e+003,2.0409e+003,2.1610e+003
2021-01-06 01:45:00 PST,5.6006e+002,7.6012e+002,6.8009e+002,1.1203e+003,5.6006e+002,7.6012e+002,8.4014e+002,5.2006e+002,5.2006e+002,5.6006e+002,1.2403e+003,1.0802e+003,7.6012e+002,2.1610e+003,2.8417e+003,4.9651e+003,2.6414e+003,3.8430e+003,2.7616e+003,2.1209e+003,3.3223e+003
2021-01-06 02:00:00 PST,6.4008e+002,6.8009e+002,6.8009e+002,1.5605e+003,2.6414e+003,9.6019e+002,8.8016e+002,2.1209e+003,5.2006e+002,7.2011e+002,8.4014e+002,7.2011e+002,6.0007e+002,1.3204e+003,2.2410e+003,2.7616e+003,1.9208e+003,3.9232e+003,5.2857e+003,2.0409e+003,5.0051e+003
2021-01-06 02:15:00 PST,4.8005e+002,9.2017e+002,1.0002e+003,1.0402e+003,6.4008e+002,9.6019e+002,8.0013e+002,3.0819e+003,8.8016e+002,5.6006e+002,8.4014e+002,3.1620e+003,6.0007e+002,5.8871e+003,2.0409e+003,2.0809e+003,1.8407e+003,4.5242e+003,2.8016e+003,2.0008e+003,2.2410e+003
2021-01-06 02:30:00 PST,2.0001e+002,8.4014e+002,1.1603e+003,1.0002e+003,6.0007e+002,6.4008e+002,8.0013e+002,8.0013e+002,9.2017e+002,1.7606e+003,8.4014e+002,9.2017e+002,1.0002e+003,1.3604e+003,5.4060e+003,2.1610e+003,1.8073e+003,2.0409e+003,3.6027e+003,2.1209e+003,2.2811e+003
2021-01-06 02:45:00 PST,3.6003e+002,6.4008e+002,6.8009e+002,1.1603e+003,5.2006e+002,5.6006e+002,1.0802e+003,5.2006e+002,5.6006e+002,6.8009e+002,6.0007e+002,6.4008e+002,8.4014e+002,2.1209e+003,2.4412e+003,2.2811e+003,5.5263e+003,2.0008e+003,1.7606e+003,5.7267e+003,2.4412e+003
2021-01-06 03:00:00 PST,7.2011e+002,8.8016e+002,6.4008e+002,1.0802e+003,2.5213e+003,5.6006e+002,3.1620e+003,6.8009e+002,7.2011e+002,6.4008e+002,4.8005e+002,6.8009e+002,1.6806e+003,4.2036e+003,2.0809e+003,2.8016e+003,1.8407e+003,2.0409e+003,3.9232e+003,2.1209e+003,2.7215e+003
2021-01-06 03:15:00 PST,5.2006e+002,9.2017e+002,8.4014e+002,1.1203e+003,1.2003e+003,1.0002e+003,1.1603e+003,6.4008e+002,8.0013e+002,5.2006e+002,1.6806e+003,8.8016e+002,6.8009e+002,1.6406e+003,2.1209e+003,6.4084e+003,1.7606e+003,2.3611e+003,3.4825e+003,2.0809e+003,6.3282e+003
2021-01-06 03:30:00 PST,3.2002e+002,7.6012e+002,8.0013e+002,1.0802e+003,1.7206e+003,9.2017e+002,9.2017e+002,8.4014e+002,5.2006e+002,6.8009e+002,9.6019e+002,1.6806e+003,2.7215e+003,1.8407e+003,2.0409e+003,2.4813e+003,2.5613e+003,4.0834e+003,2.7215e+003,2.0008e+003,2.4012e+003
2021-01-06 03:45:00 PST,2.8002e+002,6.8009e+002,6.0007e+002,1.1203e+003,5.6006e+002,5.6006e+002,1.8007e+003,7.6012e+002,1.9208e+003,6.8009e+002,8.8016e+002,1.5205e+003,8.8016e+002,3.1220e+003,2.0409e+003,2.0409e+003,2.6414e+003,5.6465e+003,1.5605e+003,4.2036e+003,2.8417e+003
2021-01-06 04:00:00 PST,5.6006e+002,8.4014e+002,2.0409e+003,9.6019e+002,7.6012e+002,3.6828e+003,1.0402e+003,6.0007e+002,1.2003e+003,5.6006e+002,5.2006e+002,6.8009e+002,6.0007e+002,4.0033e+003,3.4825e+003,2.0409e+003,2.5213e+003,2.0008e+003,2.2811e+003,2.8016e+003,2.5213e+003
2021-01-06 04:15:00 PST,1.0802e+003,9.2017e+002,7.2011e+002,1.0802e+003,7.6012e+002,5.6006e+002,1.0002e+003,6.0007e+002,6.4008e+002,5.6006e+002,6.8009e+002,8.0013e+002,6.4008e+002,1.9208e+003,5.0452e+003,2.0809e+003,5.6065e+003,2.0008e+003,3.7228e+003,4.8448e+003,2.6414e+003
2021-01-06 04:30:00 PST,1.0802e+003,1.5205e+003,6.8009e+002,1.1603e+003,8.4014e+002,9.2017e+002,7.6012e+002,6.0007e+002,5.6006e+002,7.6012e+002,6.8009e+002,7.6012e+002,7.6012e+002,1.6806e+003,2.8417e+003,2.0409e+003,1.8807e+003,2.0809e+003,3.3623e+003,2.4012e+003,3.8831e+003
