# file...... 1Meter_645_B_power.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_645_B_24:measured_power,house_meter_645_B_25:measured_power,house_meter_645_B_26:measured_power,house_meter_645_B_27:measured_power,house_meter_645_B_28:measured_power,house_meter_645_B_29:measured_power,house_meter_645_B_30:measured_power,house_meter_645_B_31:measured_power,house_meter_645_B_32:measured_power,house_meter_645_B_33:measured_power,house_meter_645_B_34:measured_power,house_meter_645_B_35:measured_power,house_meter_645_B_36:measured_power,house_meter_645_B_37:measured_power,house_meter_645_B_38:measured_power,house_meter_645_B_39:measured_power,house_meter_645_B_40:measured_power
2021-01-06 00:00:00 PST,+240.012+0.00110534d,+2040.84+0.00942669d,+1320.35+0.00609697d,+1960.77+0.00905658d,+3041.86+0.0140561d,+4003.23+0.0185057d,+680.093+0.00313965d,+1400.37+0.00610782d,+3001.81+0.0138708d,+240.012+0.00110473d,+240.012+0.00110473d,+200.008+0.000920585d,+200.008+0.000920585d,+280.016+0.00128888d,+400.032+0.00184139d,+200.008+0.000920585d,+320.021+0.00147304d
2021-01-06 00:15:00 PST,+200.008+0.000922588d,+1680.57+0.00777235d,+1440.42+0.00666105d,+1920.74+0.00888398d,+3522.5+0.0163031d,+3923.1+0.0181601d,+680.093+0.00314405d,+1360.37+0.00629068d,+1400.39+0.00647586d,+200.008+0.000922093d,+200.008+0.000922093d,+160.005+0.000737657d,+280.016+0.00129099d,+240.012+0.00110654d,+360.026+0.00165993d,+200.008+0.000922093d,+240.012+0.00110654d
2021-01-06 00:30:00 PST,+240.012+0.00110746d,+2841.63+0.0131556d,+1400.4+0.00647948d,+1840.68+0.00851816d,+1800.65+0.00833278d,+5125.3+0.0237499d,+2321.09+0.0107434d,+1360.37+0.0062942d,+1120.25+0.00518271d,+240.012+0.00110673d,+200.008+0.000922253d,+240.012+0.00110673d,+240.012+0.00110673d,+120.003+0.000553324d,+280.016+0.00129122d,+160.005+0.000737784d,+200.008+0.000922253d
2021-01-06 00:45:00 PST,+240.012+0.00110786d,+1400.39+0.00647581d,+1400.39+0.00647581d,+1920.74+0.0088839d,+1800.65+0.00832805d,+3883.04+0.0179742d,+720.104+0.00332904d,+1360.37+0.00629063d,+1120.25+0.00517977d,+240.012+0.00110698d,+240.012+0.00110698d,+240.012+0.00110698d,+240.012+0.00110698d,+200.008+0.000922462d,+200.008+0.000922462d,+280.016+0.00129151d,+160.005+0.000737952d
2021-01-06 01:00:00 PST,+280.016+0.00129077d,+1280.33+0.00591469d,+2681.45+0.0123944d,+3322.22+0.0153602d,+2801.58+0.0129503d,+3923.1+0.0181427d,+760.116+0.00351074d,+720.104+0.00332589d,+1080.23+0.00498992d,+280.016+0.00128957d,+280.016+0.00128957d,+200.008+0.000921077d,+160.005+0.000736843d,+240.012+0.00110532d,+240.012+0.00110532d,+200.008+0.000921077d,+120.003+0.000552619d
2021-01-06 01:15:00 PST,+240.012+0.00110444d,+1280.33+0.00590167d,+1400.39+0.00645541d,+1880.71+0.00867121d,+1800.65+0.00830182d,+3883.03+0.0179175d,+680.093+0.00313413d,+720.104+0.00331857d,+1080.23+0.00497893d,+240.012+0.00110362d,+160.005+0.000735713d,+160.005+0.000735713d,+160.005+0.000735713d,+280.016+0.00128759d,+200.008+0.000919664d,+160.005+0.000735713d,+160.005+0.000735713d
2021-01-06 01:30:00 PST,+200.008+0.000923896d,+2441.2+0.0113023d,+1440.42+0.00666618d,+1960.78+0.00907626d,+1480.44+0.00685151d,+3923.11+0.0181741d,+680.093+0.00314647d,+960.186+0.00444283d,+1040.22+0.00481329d,+280.016+0.0012924d,+200.008+0.000923098d,+160.005+0.00073846d,+160.005+0.00073846d,+200.008+0.000923098d,+280.016+0.0012924d,+160.005+0.00073846d,+200.008+0.000923098d
2021-01-06 01:45:00 PST,+400.032+0.0018478d,+1360.37+0.00630021d,+1080.24+0.00500226d,+1880.71+0.00871186d,+1360.37+0.00630021d,+4003.24+0.0185597d,+5846.91+0.0271276d,+1400.4+0.00648567d,+1000.2+0.0046315d,+560.063+0.00258544d,+160.005+0.00073852d,+240.012+0.00110783d,+280.016+0.0012925d,+160.005+0.00073852d,+280.016+0.0012925d,+120.003+0.000553877d,+240.012+0.00110783d
2021-01-06 02:00:00 PST,+240.012+0.00110857d,+1320.35+0.0061115d,+1000.2+0.00462903d,+1400.4+0.0064822d,+2281.05+0.0105624d,+4964.98+0.0230152d,+760.116+0.00351755d,+320.021+0.00148068d,+1000.2+0.00462903d,+320.021+0.00147768d,+240.012+0.00110821d,+240.012+0.00110821d,+280.016+0.00129294d,+200.008+0.000923485d,+280.016+0.00129294d,+200.008+0.000923485d,+160.005+0.00073877d
2021-01-06 02:15:00 PST,+1480.44+0.00683597d,+1320.35+0.00610799d,+1040.22+0.00481154d,+1160.27+0.00536711d,+1120.25+0.00518191d,+3642.68+0.0168669d,+5806.81+0.0269112d,+240.012+0.00110982d,+960.186+0.0044412d,+200.008+0.00092253d,+240.012+0.00110706d,+200.008+0.00092253d,+280.016+0.0012916d,+160.005+0.000738006d,+200.008+0.00092253d,+200.008+0.00092253d,+160.005+0.000738006d
2021-01-06 02:30:00 PST,+240.012+0.00110605d,+560.063+0.00258592d,+840.142+0.00387953d,+1960.77+0.00905838d,+1160.27+0.00535849d,+3081.91+0.0142442d,+6287.97+0.0290999d,+320.021+0.00147745d,+240.012+0.00110804d,+280.016+0.00128978d,+240.012+0.0011055d,+160.005+0.000736963d,+280.016+0.00128978d,+240.012+0.0011055d,+280.016+0.00128978d,+240.012+0.0011055d,+120.003+0.000552709d
2021-01-06 02:45:00 PST,+600.072+0.00276404d,+280.016+0.00129119d,+760.116+0.00350568d,+800.129+0.00369028d,+1000.2+0.00461341d,+2200.97+0.0101569d,+4964.96+0.0229374d,+240.012+0.00110671d,+280.016+0.00129119d,+240.012+0.00110493d,+160.005+0.000736583d,+160.005+0.000736583d,+280.016+0.00128911d,+280.016+0.00128911d,+240.012+0.00110493d,+120.003+0.000552424d,+160.005+0.000736583d
2021-01-06 03:00:00 PST,+560.063+0.00258178d,+240.012+0.00110753d,+760.116+0.00350829d,+560.063+0.00258475d,+1000.2+0.00461684d,+2281.05+0.0105345d,+4524.12+0.0209126d,+280.016+0.00129215d,+240.012+0.00110753d,+240.012+0.00110595d,+200.008+0.000921603d,+160.005+0.000737265d,+600.072+0.00276547d,+160.005+0.000737265d,+280.016+0.00129031d,+160.005+0.000737265d,+200.008+0.000921603d
2021-01-06 03:15:00 PST,+440.039+0.00203072d,+320.021+0.00147959d,+1720.6+0.00795954d,+520.054+0.00240463d,+1000.2+0.00462562d,+3322.23+0.0153787d,+5445.99+0.0252312d,+240.012+0.00110964d,+1640.54+0.00758896d,+120.003+0.000553516d,+160.005+0.000738039d,+240.012+0.00110711d,+360.026+0.00166079d,+160.005+0.000738039d,+280.016+0.00129166d,+120.003+0.000553516d,+240.012+0.00110711d
2021-01-06 03:30:00 PST,+320.021+0.00147697d,+320.021+0.00147964d,+320.021+0.00147964d,+480.046+0.00221968d,+1080.24+0.00499608d,+2160.94+0.0099987d,+7732.08+0.035857d,+200.008+0.000924708d,+240.012+0.00110968d,+160.005+0.000738309d,+280.016+0.00129213d,+280.016+0.00129213d,+240.012+0.00110752d,+200.008+0.000922908d,+280.016+0.00129213d,+240.012+0.00110752d,+160.005+0.000738309d
2021-01-06 03:45:00 PST,+240.012+0.00110611d,+320.021+0.00147805d,+280.016+0.00129326d,+320.021+0.00147805d,+1320.35+0.00610063d,+2200.98+0.0101731d,+9257.3+0.0429103d,+320.021+0.00147805d,+280.016+0.00129326d,+120.003+0.000552916d,+240.012+0.00110591d,+160.005+0.000737239d,+280.016+0.00129026d,+240.012+0.00110591d,+160.005+0.000737239d,+200.008+0.000921571d,+160.005+0.000737239d
2021-01-06 04:00:00 PST,+280.016+0.00129061d,+1080.23+0.00499137d,+520.054+0.00240244d,+560.063+0.0025873d,+1880.71+0.00869288d,+2120.91+0.00980404d,+8936.12+0.0414217d,+240.012+0.00110863d,+240.012+0.00110863d,+200.008+0.000921494d,+200.008+0.000921494d,+160.005+0.000737178d,+280.016+0.00129015d,+200.008+0.000921494d,+240.012+0.00110582d,+200.008+0.000921494d,+160.005+0.000737178d
2021-01-06 04:15:00 PST,+3923.11+0.0181902d,+3682.75+0.0171556d,+3682.75+0.0171556d,+4163.52+0.0193989d,+4965+0.0231408d,+5726.66+0.026699d,+12793.3+0.0598176d,+4003.25+0.018651d,+3802.93+0.0177163d,+200.008+0.000923335d,+160.005+0.00073865d,+160.005+0.00073865d,+200.008+0.000923335d,+240.012+0.00110803d,+200.008+0.000923335d,+120.003+0.000553974d,+160.005+0.00073865d
2021-01-06 04:30:00 PST,+480.046+0.00220457d,+320.021+0.00147284d,+360.026+0.00165699d,+360.026+0.00165699d,+1080.23+0.00497311d,+2200.97+0.0101373d,+10140.7+0.0468557d,+560.063+0.00257784d,+280.016+0.00128871d,+240.012+0.00110185d,+200.008+0.000918186d,+200.008+0.000918186d,+160.005+0.000734531d,+200.008+0.000918186d,+320.02+0.0014692d,+160.005+0.000734531d,+200.008+0.000918186d
2021-01-06 04:45:00 PST,+400.032+0.0018399d,+400.032+0.00184399d,+400.032+0.00184399d,+400.032+0.00184399d,+1160.27+0.00535001d,+2200.97+0.0101529d,+9980.08+0.046182d,+320.021+0.00147512d,+280.016+0.0012907d,+120.003+0.000551737d,+200.008+0.000919604d,+240.012+0.00110355d,+160.005+0.000735666d,+200.008+0.000919604d,+240.012+0.00110355d,+120.003+0.000551737d,+240.012+0.00110355d
