# file...... 1Meter_645_B_power.real.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_645_B_20:measured_power.real,house_meter_645_B_21:measured_power.real,house_meter_645_B_22:measured_power.real,house_meter_645_B_23:measured_power.real,house_meter_645_B_24:measured_power.real,house_meter_645_B_25:measured_power.real,house_meter_645_B_26:measured_power.real,house_meter_645_B_27:measured_power.real,house_meter_645_B_28:measured_power.real,house_meter_645_B_29:measured_power.real,house_meter_645_B_30:measured_power.real,house_meter_645_B_31:measured_power.real,house_meter_645_B_32:measured_power.real,house_meter_645_B_33:measured_power.real,house_meter_645_B_34:measured_power.real,house_meter_645_B_35:measured_power.real,house_meter_645_B_36:measured_power.real,house_meter_645_B_37:measured_power.real,house_meter_645_B_38:measured_power.real,house_meter_645_B_39:measured_power.real,house_meter_645_B_40:measured_power.real
2021-01-06 00:00:00 PST,3.2002e+002,1.2803e+003,6.4008e+002,9.6018e+002,2.4001e+002,2.0408e+003,1.3204e+003,1.9608e+003,3.0419e+003,4.0032e+003,6.8009e+002,1.4004e+003,3.0018e+003,2.4001e+002,2.4001e+002,2.0001e+002,2.0001e+002,2.8002e+002,4.0003e+002,2.0001e+002,3.2002e+002
2021-01-06 00:15:00 PST,3.6003e+002,1.2403e+003,7.2010e+002,9.6019e+002,2.0001e+002,1.6806e+003,1.4404e+003,1.9207e+003,3.5225e+003,3.9231e+003,6.8009e+002,1.3604e+003,1.4004e+003,2.0001e+002,2.0001e+002,1.6001e+002,2.8002e+002,2.4001e+002,3.6003e+002,2.0001e+002,2.4001e+002
2021-01-06 00:30:00 PST,5.6006e+002,1.3604e+003,6.8009e+002,1.0002e+003,2.4001e+002,2.8416e+003,1.4004e+003,1.8407e+003,1.8007e+003,5.1253e+003,2.3211e+003,1.3604e+003,1.1203e+003,2.4001e+002,2.0001e+002,2.4001e+002,2.4001e+002,1.2000e+002,2.8002e+002,1.6001e+002,2.0001e+002
2021-01-06 00:45:00 PST,6.0007e+002,1.2803e+003,7.2010e+002,1.0402e+003,2.4001e+002,1.4004e+003,1.4004e+003,1.9207e+003,1.8007e+003,3.8830e+003,7.2010e+002,1.3604e+003,1.1203e+003,2.4001e+002,2.4001e+002,2.4001e+002,2.4001e+002,2.0001e+002,2.0001e+002,2.8002e+002,1.6001e+002
2021-01-06 01:00:00 PST,4.8005e+002,2.6014e+003,6.8009e+002,1.0002e+003,2.8002e+002,1.2803e+003,2.6814e+003,3.3222e+003,2.8016e+003,3.9231e+003,7.6012e+002,7.2010e+002,1.0802e+003,2.8002e+002,2.8002e+002,2.0001e+002,1.6001e+002,2.4001e+002,2.4001e+002,2.0001e+002,1.2000e+002
2021-01-06 01:15:00 PST,6.4008e+002,1.6005e+003,6.8009e+002,7.6012e+002,2.4001e+002,1.2803e+003,1.4004e+003,1.8807e+003,1.8007e+003,3.8830e+003,6.8009e+002,7.2010e+002,1.0802e+003,2.4001e+002,1.6001e+002,1.6001e+002,1.6001e+002,2.8002e+002,2.0001e+002,1.6001e+002,1.6001e+002
2021-01-06 01:30:00 PST,5.6006e+002,1.5605e+003,6.4008e+002,1.5605e+003,2.0001e+002,2.4412e+003,1.4404e+003,1.9608e+003,1.4804e+003,3.9231e+003,6.8009e+002,9.6019e+002,1.0402e+003,2.8002e+002,2.0001e+002,1.6001e+002,1.6001e+002,2.0001e+002,2.8002e+002,1.6001e+002,2.0001e+002
2021-01-06 01:45:00 PST,3.6003e+002,1.4804e+003,1.8007e+003,2.0001e+002,4.0003e+002,1.3604e+003,1.0802e+003,1.8807e+003,1.3604e+003,4.0032e+003,5.8469e+003,1.4004e+003,1.0002e+003,5.6006e+002,1.6001e+002,2.4001e+002,2.8002e+002,1.6001e+002,2.8002e+002,1.2000e+002,2.4001e+002
2021-01-06 02:00:00 PST,3.6003e+002,1.2403e+003,2.4001e+002,2.8002e+002,2.4001e+002,1.3204e+003,1.0002e+003,1.4004e+003,2.2810e+003,4.9650e+003,7.6012e+002,3.2002e+002,1.0002e+003,3.2002e+002,2.4001e+002,2.4001e+002,2.8002e+002,2.0001e+002,2.8002e+002,2.0001e+002,1.6001e+002
2021-01-06 02:15:00 PST,4.8005e+002,1.0802e+003,2.8002e+002,2.8002e+002,1.4804e+003,1.3204e+003,1.0402e+003,1.1603e+003,1.1203e+003,3.6427e+003,5.8068e+003,2.4001e+002,9.6019e+002,2.0001e+002,2.4001e+002,2.0001e+002,2.8002e+002,1.6001e+002,2.0001e+002,2.0001e+002,1.6001e+002
2021-01-06 02:30:00 PST,3.6003e+002,2.0809e+003,2.8002e+002,2.8002e+002,2.4001e+002,5.6006e+002,8.4014e+002,1.9608e+003,1.1603e+003,3.0819e+003,6.2880e+003,3.2002e+002,2.4001e+002,2.8002e+002,2.4001e+002,1.6001e+002,2.8002e+002,2.4001e+002,2.8002e+002,2.4001e+002,1.2000e+002
2021-01-06 02:45:00 PST,4.0003e+002,1.0802e+003,2.0001e+002,2.4001e+002,6.0007e+002,2.8002e+002,7.6012e+002,8.0013e+002,1.0002e+003,2.2010e+003,4.9650e+003,2.4001e+002,2.8002e+002,2.4001e+002,1.6001e+002,1.6001e+002,2.8002e+002,2.8002e+002,2.4001e+002,1.2000e+002,1.6001e+002
2021-01-06 03:00:00 PST,4.4004e+002,1.0002e+003,2.0001e+002,2.0001e+002,5.6006e+002,2.4001e+002,7.6012e+002,5.6006e+002,1.0002e+003,2.2810e+003,4.5241e+003,2.8002e+002,2.4001e+002,2.4001e+002,2.0001e+002,1.6001e+002,6.0007e+002,1.6001e+002,2.8002e+002,1.6001e+002,2.0001e+002
2021-01-06 03:15:00 PST,4.0003e+002,1.0402e+003,2.4001e+002,2.4001e+002,4.4004e+002,3.2002e+002,1.7206e+003,5.2005e+002,1.0002e+003,3.3222e+003,5.4460e+003,2.4001e+002,1.6405e+003,1.2000e+002,1.6001e+002,2.4001e+002,3.6003e+002,1.6001e+002,2.8002e+002,1.2000e+002,2.4001e+002
2021-01-06 03:30:00 PST,3.2002e+002,3.2002e+002,2.4001e+002,2.4001e+002,3.2002e+002,3.2002e+002,3.2002e+002,4.8005e+002,1.0802e+003,2.1609e+003,7.7321e+003,2.0001e+002,2.4001e+002,1.6001e+002,2.8002e+002,2.8002e+002,2.4001e+002,2.0001e+002,2.8002e+002,2.4001e+002,1.6001e+002
2021-01-06 03:45:00 PST,4.0003e+002,2.0001e+002,2.4001e+002,2.8002e+002,2.4001e+002,3.2002e+002,2.8002e+002,3.2002e+002,1.3204e+003,2.2010e+003,9.2573e+003,3.2002e+002,2.8002e+002,1.2000e+002,2.4001e+002,1.6001e+002,2.8002e+002,2.4001e+002,1.6001e+002,2.0001e+002,1.6001e+002
2021-01-06 04:00:00 PST,4.8005e+002,6.8009e+002,2.8002e+002,2.4001e+002,2.8002e+002,1.0802e+003,5.2005e+002,5.6006e+002,1.8807e+003,2.1209e+003,8.9361e+003,2.4001e+002,2.4001e+002,2.0001e+002,2.0001e+002,1.6001e+002,2.8002e+002,2.0001e+002,2.4001e+002,2.0001e+002,1.6001e+002
2021-01-06 04:15:00 PST,3.2002e+002,3.6827e+003,3.8430e+003,4.1234e+003,3.9231e+003,3.6828e+003,3.6828e+003,4.1635e+003,4.9650e+003,5.7267e+003,1.2793e+004,4.0033e+003,3.8029e+003,2.0001e+002,1.6001e+002,1.6001e+002,2.0001e+002,2.4001e+002,2.0001e+002,1.2000e+002,1.6001e+002
2021-01-06 04:30:00 PST,3.6003e+002,3.6003e+002,3.6003e+002,4.8005e+002,4.8005e+002,3.2002e+002,3.6003e+002,3.6003e+002,1.0802e+003,2.2010e+003,1.0141e+004,5.6006e+002,2.8002e+002,2.4001e+002,2.0001e+002,2.0001e+002,1.6001e+002,2.0001e+002,3.2002e+002,1.6001e+002,2.0001e+002
2021-01-06 04:45:00 PST,4.8005e+002,4.0003e+002,2.8002e+002,3.2002e+002,4.0003e+002,4.0003e+002,4.0003e+002,4.0003e+002,1.1603e+003,2.2010e+003,9.9801e+003,3.2002e+002,2.8002e+002,1.2000e+002,2.0001e+002,2.4001e+002,1.6001e+002,2.0001e+002,2.4001e+002,1.2000e+002,2.4001e+002
2021-01-06 05:00:00 PST,4.0003e+002,2.8002e+002,3.6003e+002,3.2002e+002,3.6003e+002,3.6003e+002,4.7646e+003,3.2002e+002,1.3604e+003,2.0008e+003,9.8596e+003,2.4012e+003,3.6003e+002,1.2000e+002,2.4001e+002,2.0001e+002,1.6001e+002,1.6001e+002,2.8002e+002,2.4001e+002,2.0001e+002
2021-01-06 05:15:00 PST,3.2002e+002,2.4001e+002,3.2002e+002,3.6003e+002,3.2002e+002,3.6003e+002,3.6003e+002,5.2005e+002,1.1603e+003,1.7606e+003,8.4945e+003,3.0419e+003,3.2002e+002,1.6001e+002,2.4001e+002,1.2000e+002,2.0001e+002,2.4001e+002,2.0001e+002,2.0001e+002,2.0001e+002
2021-01-06 05:30:00 PST,4.0003e+002,2.4001e+002,3.6003e+002,3.2002e+002,4.8046e+003,3.6003e+002,5.2856e+003,7.2010e+002,1.1603e+003,1.8007e+003,8.4544e+003,4.3638e+003,3.6003e+002,1.6001e+002,1.6001e+002,1.6001e+002,2.8002e+002,2.4001e+002,2.0001e+002,2.0001e+002,1.2000e+002
2021-01-06 05:45:00 PST,5.2005e+002,3.6003e+002,6.2078e+003,5.6006e+002,2.8002e+002,3.2002e+002,1.5605e+003,4.4004e+002,1.2403e+003,1.7606e+003,8.1333e+003,3.1620e+003,2.8002e+002,2.4001e+002,2.0001e+002,1.6001e+002,2.4001e+002,2.0001e+002,2.4001e+002,1.6001e+002,1.6001e+002
