# file...... 1Meter_645_C_power.real.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_645_C_20:measured_power.real,house_meter_645_C_21:measured_power.real,house_meter_645_C_22:measured_power.real,house_meter_645_C_23:measured_power.real,house_meter_645_C_24:measured_power.real,house_meter_645_C_25:measured_power.real,house_meter_645_C_26:measured_power.real,house_meter_645_C_27:measured_power.real,house_meter_645_C_28:measured_power.real,house_meter_645_C_29:measured_power.real,house_meter_645_C_30:measured_power.real,house_meter_645_C_31:measured_power.real,house_meter_645_C_32:measured_power.real,house_meter_645_C_33:measured_power.real,house_meter_645_C_34:measured_power.real,house_meter_645_C_35:measured_power.real,house_meter_645_C_36:measured_power.real,house_meter_645_C_37:measured_power.real,house_meter_645_C_38:measured_power.real,house_meter_645_C_39:measured_power.real,house_meter_645_C_40:measured_power.real
2021-01-06 00:00:00 PST,3.2421e+003,1.2403e+003,1.0802e+003,1.9208e+003,1.3204e+003,6.0007e+002,5.2006e+002,1.2403e+003,5.6006e+002,1.4804e+003,1.0802e+003,5.2006e+002,1.0802e+003,1.4804e+003,1.6806e+003,4.4004e+002,7.6012e+002,1.7206e+003,1.1203e+003,1.3204e+003,8.4014e+002
2021-01-06 00:15:00 PST,9.2017e+002,1.0002e+003,1.0402e+003,2.1610e+003,4.9650e+003,6.4008e+002,6.8009e+002,1.1603e+003,5.6006e+002,8.8016e+002,7.6012e+002,1.3204e+003,2.0408e+003,6.8009e+002,1.0402e+003,8.8016e+002,1.0402e+003,6.8009e+002,8.8016e+002,8.8016e+002,1.1203e+003
2021-01-06 00:30:00 PST,9.2017e+002,1.0002e+003,9.6019e+002,2.2410e+003,2.8817e+003,5.6006e+002,6.8009e+002,1.1203e+003,6.0007e+002,1.8407e+003,1.4404e+003,8.4014e+002,7.2011e+002,8.0013e+002,1.2403e+003,1.3204e+003,1.5605e+003,2.0008e+003,9.6019e+002,1.1603e+003,9.6019e+002
2021-01-06 00:45:00 PST,6.8810e+002,7.8413e+002,9.4418e+002,4.5883e+003,7.1210e+002,6.0007e+002,2.2330e+003,9.4418e+002,9.2017e+002,1.1203e+003,7.6012e+002,5.6006e+002,1.4004e+003,2.0008e+003,1.3204e+003,6.4008e+002,1.2803e+003,1.0402e+003,1.1603e+003,1.1203e+003,4.8005e+002
2021-01-06 01:00:00 PST,1.1603e+003,9.6019e+002,1.1203e+003,4.4440e+003,1.0802e+003,7.2011e+002,4.4440e+003,1.2803e+003,4.5242e+003,1.1603e+003,1.4404e+003,1.9208e+003,8.8016e+002,6.4008e+002,8.8016e+002,1.4004e+003,1.2403e+003,1.4804e+003,6.4008e+002,1.6005e+003,1.4404e+003
2021-01-06 01:15:00 PST,1.0802e+003,1.0802e+003,1.2803e+003,1.3204e+003,1.1603e+003,6.4008e+002,5.6006e+002,8.0013e+002,2.4813e+003,1.8807e+003,5.6006e+002,4.4004e+002,1.3204e+003,1.4404e+003,1.7606e+003,5.2006e+002,5.6006e+002,1.4804e+003,1.4404e+003,1.2003e+003,1.2003e+003
2021-01-06 01:30:00 PST,8.4014e+002,3.8831e+003,1.2403e+003,1.1203e+003,1.0802e+003,5.6006e+002,5.6006e+002,1.4404e+003,7.2011e+002,7.6012e+002,1.5205e+003,7.6012e+002,1.1203e+003,5.6006e+002,9.2017e+002,9.6019e+002,1.6405e+003,9.6019e+002,1.0402e+003,1.1203e+003,1.6005e+003
2021-01-06 01:45:00 PST,8.4014e+002,3.0499e+003,1.0962e+003,9.6819e+002,7.0410e+002,2.3291e+003,4.6404e+002,3.7068e+003,5.0405e+002,1.9208e+003,6.4008e+002,1.2403e+003,1.2403e+003,1.2003e+003,2.1610e+003,1.6806e+003,5.2006e+002,2.0809e+003,1.6405e+003,1.3604e+003,4.0003e+002
2021-01-06 02:00:00 PST,1.6406e+003,1.1603e+003,5.0051e+003,1.2803e+003,9.6019e+002,4.3639e+003,5.6006e+002,2.4012e+003,5.6006e+002,1.0402e+003,1.6806e+003,6.8009e+002,1.0802e+003,1.0802e+003,4.4004e+002,6.4008e+002,1.6405e+003,6.4008e+002,5.6006e+002,8.4014e+002,1.1203e+003
2021-01-06 02:15:00 PST,4.6845e+003,1.0802e+003,2.6815e+003,1.2803e+003,9.2017e+002,6.0007e+002,6.8009e+002,6.0007e+002,5.2006e+002,1.2403e+003,6.0007e+002,1.4404e+003,1.0402e+003,5.6006e+002,1.6405e+003,4.4004e+002,6.4008e+002,1.9208e+003,1.6806e+003,1.4004e+003,8.8016e+002
2021-01-06 02:30:00 PST,2.0408e+003,1.3204e+003,1.0802e+003,1.1203e+003,9.2017e+002,6.8009e+002,6.8009e+002,4.8005e+002,6.0007e+002,1.7606e+003,2.0408e+003,5.2006e+002,1.1603e+003,1.5205e+003,6.0007e+002,1.4404e+003,1.6005e+003,1.0002e+003,4.0003e+002,6.4008e+002,7.2011e+002
2021-01-06 02:45:00 PST,7.2011e+002,1.6245e+003,9.4418e+002,8.1614e+002,8.8816e+002,5.6006e+002,4.2404e+002,6.1608e+002,5.2006e+002,8.8016e+002,6.4008e+002,4.8005e+002,8.4014e+002,5.2006e+002,1.6806e+003,4.0003e+002,6.0007e+002,1.3604e+003,1.6005e+003,1.8007e+003,1.3604e+003
2021-01-06 03:00:00 PST,8.8016e+002,1.2003e+003,1.2003e+003,1.6405e+003,1.0802e+003,6.0007e+002,1.1203e+003,6.4008e+002,7.2011e+002,1.8007e+003,1.5605e+003,1.2803e+003,1.4004e+003,1.4804e+003,4.4004e+002,1.2803e+003,1.1203e+003,1.6405e+003,4.8005e+002,6.4008e+002,4.8005e+002
2021-01-06 03:15:00 PST,7.6012e+002,1.2003e+003,1.1603e+003,5.0051e+003,4.3639e+003,6.0007e+002,4.5242e+003,6.0007e+002,7.2011e+002,9.2017e+002,6.8009e+002,5.2006e+002,1.0802e+003,7.2011e+002,1.3604e+003,1.0802e+003,1.1603e+003,1.6806e+003,1.6806e+003,1.8407e+003,1.4404e+003
2021-01-06 03:30:00 PST,8.0013e+002,1.1203e+003,1.1603e+003,3.1620e+003,3.6828e+003,5.2006e+002,2.3211e+003,6.0007e+002,3.4424e+003,1.5205e+003,1.6806e+003,1.6405e+003,2.2010e+003,8.4014e+002,7.2011e+002,9.6019e+002,8.0013e+002,2.0008e+003,5.2006e+002,4.0003e+002,5.2006e+002
2021-01-06 03:45:00 PST,6.8009e+002,9.2017e+002,9.0417e+002,1.0002e+003,8.0813e+002,4.6404e+002,4.8005e+002,3.8403e+002,2.9938e+003,2.1610e+003,5.6006e+002,6.8009e+002,5.6006e+002,2.0409e+003,1.1203e+003,1.4004e+003,1.4004e+003,1.2803e+003,1.3604e+003,1.6806e+003,1.6405e+003
2021-01-06 04:00:00 PST,8.4014e+002,1.1203e+003,1.0402e+003,1.2803e+003,9.2017e+002,6.4008e+002,6.0007e+002,1.8007e+003,5.6006e+002,9.6019e+002,1.4804e+003,1.6806e+003,1.5605e+003,6.8009e+002,1.1603e+003,4.4004e+002,1.0802e+003,2.1610e+003,6.8009e+002,5.2006e+002,4.8005e+002
2021-01-06 04:15:00 PST,7.6012e+002,1.0802e+003,1.0802e+003,1.0802e+003,9.2017e+002,8.0013e+002,6.0007e+002,4.4841e+003,4.8005e+002,1.6005e+003,5.2006e+002,9.2017e+002,1.1203e+003,1.5205e+003,7.6012e+002,8.8016e+002,2.7215e+003,1.2803e+003,1.2403e+003,1.7206e+003,1.2803e+003
