# file...... 1Meter_652_A_power.csv
# date...... Tue May 11 22:32:20 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_652_A_24:measured_power,house_meter_652_A_25:measured_power,house_meter_652_A_26:measured_power,house_meter_652_A_27:measured_power,house_meter_652_A_28:measured_power,house_meter_652_A_29:measured_power,house_meter_652_A_30:measured_power,house_meter_652_A_31:measured_power,house_meter_652_A_32:measured_power,house_meter_652_A_33:measured_power,house_meter_652_A_34:measured_power,house_meter_652_A_35:measured_power,house_meter_652_A_36:measured_power,house_meter_652_A_37:measured_power,house_meter_652_A_38:measured_power,house_meter_652_A_39:measured_power,house_meter_652_A_40:measured_power
2021-01-06 00:00:00 PST,+2521.31+0.0118833d,+3442.44+0.0162926d,+7130.5+0.0337991d,+4724.6+0.0223727d,+5245.68+0.0248455d,+5165.5+0.024465d,+3001.86+0.0142048d,+10824.2+0.0513862d,+5486.21+0.0259874d,+7090.32+0.033422d,+920.173+0.00432649d,+4804.74+0.022627d,+960.189+0.00451471d,+1240.32+0.00583251d,+160.005+0.00075208d,+120.003+0.000564046d,+240.012+0.00112818d
2021-01-06 00:15:00 PST,+6488.61+0.030454d,+3762.9+0.0176772d,+3402.37+0.0159812d,+6248+0.0293816d,+8253.97+0.0388468d,+5325.81+0.0250355d,+2281.06+0.0107094d,+2881.7+0.0135327d,+760.118+0.00356648d,+3041.88+0.0142209d,+880.158+0.00411115d,+2801.6+0.0130963d,+840.144+0.00392419d,+240.012+0.00112079d,+160.005+0.000747154d,+200.008+0.000933965d,+240.012+0.00112079d
2021-01-06 00:30:00 PST,+7290.86+0.0342087d,+1480.45+0.00694077d,+1000.2+0.00468833d,+5045.21+0.0236879d,+4764.64+0.022368d,+5245.63+0.0246309d,+8896.21+0.0418349d,+2881.7+0.013518d,+920.173+0.00431305d,+2881.69+0.0134757d,+880.158+0.00411255d,+2681.46+0.0125384d,+6288.07+0.029446d,+200.008+0.000934289d,+120.003+0.000560549d,+240.012+0.00112117d,+120.003+0.000560549d
2021-01-06 00:45:00 PST,+7250.74+0.0339974d,+3482.48+0.0163259d,+880.158+0.00412182d,+3322.25+0.0155737d,+4363.89+0.0204653d,+5325.8+0.0249862d,+8896.2+0.0417981d,+2921.74+0.013694d,+760.118+0.00355949d,+1840.69+0.008588d,+1520.47+0.00709305d,+2761.55+0.0128892d,+1040.22+0.00485172d,+160.005+0.000746027d,+120.003+0.000559509d,+160.005+0.000746027d,+160.005+0.000746027d
2021-01-06 01:00:00 PST,+7090.32+0.0334296d,+1200.3+0.00565947d,+960.189+0.0045269d,+5165.49+0.0243954d,+6127.73+0.0289513d,+5526.28+0.0261032d,+2881.71+0.0135968d,+5887.13+0.0278118d,+9619.07+0.0455121d,+4844.82+0.0228417d,+13960.2+0.0660655d,+7531.66+0.0355485d,+792.129+0.0037284d,+240.012+0.00112943d,+280.016+0.00131771d,+1080.24+0.00508509d,+160.005+0.000752919d
2021-01-06 01:15:00 PST,+7130.46+0.0336738d,+3202.12+0.0152141d,+7652.14+0.0364246d,+7250.9+0.0345089d,+7933.05+0.0377661d,+7571.89+0.0360413d,+2961.82+0.014071d,+12713.6+0.060645d,+13316.9+0.0635386d,+4724.59+0.0222955d,+13276.4+0.0628734d,+1360.38+0.00641081d,+875.891+0.00412683d,+160.005+0.000753656d,+240.012+0.00113054d,+200.008+0.000942093d,+2601.39+0.0122653d
2021-01-06 01:30:00 PST,+2641.42+0.0123198d,+1160.27+0.00541875d,+840.144+0.00392315d,+3282.19+0.0153419d,+5686.59+0.0266067d,+5927.16+0.0277351d,+3682.76+0.017217d,+2921.74+0.013655d,+1440.42+0.00672787d,+2921.74+0.013646d,+7531.56+0.0352424d,+2481.25+0.0115866d,+4484.09+0.0209563d,+160.005+0.000746466d,+2321.1+0.010838d,+200.008+0.000933105d,+1280.33+0.00597581d
2021-01-06 01:45:00 PST,+2321.1+0.0108372d,+3883.08+0.0182134d,+920.173+0.00431081d,+5726.71+0.0268812d,+5486.15+0.0257495d,+7090.28+0.0333004d,+8173.67+0.0384057d,+2841.65+0.013323d,+1360.38+0.00637422d,+2841.64+0.013266d,+2200.98+0.0102725d,+2761.55+0.0128917d,+3081.93+0.0143892d,+160.005+0.000746158d,+200.008+0.000932721d,+240.012+0.00111929d,+960.187+0.00447913d
2021-01-06 02:00:00 PST,+2361.13+0.0110036d,+1800.66+0.00842396d,+920.172+0.00430327d,+5045.19+0.023634d,+5526.23+0.0258925d,+9819.72+0.04609d,+9177.22+0.043063d,+2761.55+0.0129243d,+1240.31+0.00580119d,+2120.91+0.00988286d,+680.094+0.0031672d,+6568.77+0.030664d,+800.13+0.00372639d,+280.016+0.00130383d,+3282.19+0.0153013d,+240.012+0.00111754d,+240.012+0.00111754d
2021-01-06 02:15:00 PST,+2441.21+0.0113962d,+2761.56+0.0129374d,+3562.59+0.0166955d,+7451.35+0.0349753d,+8815.9+0.0414033d,+6127.67+0.0287466d,+3041.89+0.0142523d,+3883.08+0.0181998d,+840.144+0.00393282d,+8334.15+0.038988d,+720.105+0.00335827d,+3482.47+0.0162591d,+2000.81+0.00933585d,+320.021+0.00149219d,+200.008+0.000932547d,+80.0013+0.000372982d,+1400.4+0.0065327d
2021-01-06 02:30:00 PST,+2481.26+0.0116194d,+1640.55+0.00774176d,+4804.75+0.0227031d,+4363.92+0.0206164d,+6970.01+0.0329637d,+7812.58+0.0369614d,+2841.66+0.0134164d,+14282.2+0.0677503d,+13477.5+0.0639121d,+4323.82+0.0202721d,+7090.28+0.0332803d,+1560.5+0.0073081d,+826.806+0.00387093d,+240.012+0.00112341d,+560.064+0.00262181d,+120.003+0.000561666d,+1160.27+0.0054329d
2021-01-06 02:45:00 PST,+2481.26+0.0116172d,+2401.18+0.0113051d,+920.174+0.00432968d,+4323.84+0.0203733d,+5806.93+0.0273781d,+8655.4+0.0408559d,+2481.26+0.0116825d,+4484.13+0.02113d,+13557.9+0.0641266d,+2881.7+0.0135407d,+13236+0.0624598d,+2281.06+0.0107158d,+6649.06+0.0312914d,+120.003+0.000563238d,+4403.97+0.0207066d,+200.008+0.000938779d,+1320.36+0.00620022d
