# file...... 1Meter_652_A_power.real.csv
# date...... Wed May 12 03:44:55 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_652_A_20:measured_power.real,house_meter_652_A_21:measured_power.real,house_meter_652_A_22:measured_power.real,house_meter_652_A_23:measured_power.real,house_meter_652_A_24:measured_power.real,house_meter_652_A_25:measured_power.real,house_meter_652_A_26:measured_power.real,house_meter_652_A_27:measured_power.real,house_meter_652_A_28:measured_power.real,house_meter_652_A_29:measured_power.real,house_meter_652_A_30:measured_power.real,house_meter_652_A_31:measured_power.real,house_meter_652_A_32:measured_power.real,house_meter_652_A_33:measured_power.real,house_meter_652_A_34:measured_power.real,house_meter_652_A_35:measured_power.real,house_meter_652_A_36:measured_power.real,house_meter_652_A_37:measured_power.real,house_meter_652_A_38:measured_power.real,house_meter_652_A_39:measured_power.real,house_meter_652_A_40:measured_power.real
2021-01-06 00:00:00 PST,1.8007e+003,3.6427e+003,2.3611e+003,5.1254e+003,2.5213e+003,3.4424e+003,7.1304e+003,4.7246e+003,5.2456e+003,5.1655e+003,3.0018e+003,1.0824e+004,5.4862e+003,7.0902e+003,9.2017e+002,4.8047e+003,9.6019e+002,1.2403e+003,1.6001e+002,1.2000e+002,2.4001e+002
2021-01-06 00:15:00 PST,1.9207e+003,1.0802e+003,2.9618e+003,3.7228e+003,6.4885e+003,3.7629e+003,3.4023e+003,6.2479e+003,8.2539e+003,5.3258e+003,2.2811e+003,2.8817e+003,7.6012e+002,3.0419e+003,8.8016e+002,2.8016e+003,8.4014e+002,2.4001e+002,1.6001e+002,2.0001e+002,2.4001e+002
2021-01-06 00:30:00 PST,1.9207e+003,1.0802e+003,2.5213e+003,3.3222e+003,7.2908e+003,1.4804e+003,1.0002e+003,5.0452e+003,4.7646e+003,5.2456e+003,8.8961e+003,2.8817e+003,9.2017e+002,2.8817e+003,8.8016e+002,2.6815e+003,6.2880e+003,2.0001e+002,1.2000e+002,2.4001e+002,1.2000e+002
2021-01-06 00:45:00 PST,1.9207e+003,1.0802e+003,2.6815e+003,2.4412e+003,7.2506e+003,3.4825e+003,8.8016e+002,3.3222e+003,4.3639e+003,5.3257e+003,8.8961e+003,2.9217e+003,7.6012e+002,1.8407e+003,1.5205e+003,2.7615e+003,1.0402e+003,1.6001e+002,1.2000e+002,1.6001e+002,1.6001e+002
2021-01-06 01:00:00 PST,3.4424e+003,1.1603e+003,3.7228e+003,3.2021e+003,7.0902e+003,1.2003e+003,9.6019e+002,5.1654e+003,6.1277e+003,5.5262e+003,2.8817e+003,5.8871e+003,9.6189e+003,4.8448e+003,1.3960e+004,7.5316e+003,7.9213e+002,2.4001e+002,2.8002e+002,1.0802e+003,1.6001e+002
2021-01-06 01:15:00 PST,3.9231e+003,1.0802e+003,2.0809e+003,2.6815e+003,7.1304e+003,3.2021e+003,7.6520e+003,7.2508e+003,7.9330e+003,7.5718e+003,2.9618e+003,1.2713e+004,1.3317e+004,4.7246e+003,1.3276e+004,1.3604e+003,8.7589e+002,1.6001e+002,2.4001e+002,2.0001e+002,2.6014e+003
2021-01-06 01:30:00 PST,1.8407e+003,1.2003e+003,1.9608e+003,3.0419e+003,2.6414e+003,1.1603e+003,8.4014e+002,3.2822e+003,5.6865e+003,5.9271e+003,3.6827e+003,2.9217e+003,1.4404e+003,2.9217e+003,7.5315e+003,2.4812e+003,4.4841e+003,1.6001e+002,2.3211e+003,2.0001e+002,1.2803e+003
2021-01-06 01:45:00 PST,1.8807e+003,1.0002e+003,1.9207e+003,3.2021e+003,2.3211e+003,3.8831e+003,9.2017e+002,5.7267e+003,5.4861e+003,7.0902e+003,8.1736e+003,2.8416e+003,1.3604e+003,2.8416e+003,2.2010e+003,2.7615e+003,3.0819e+003,1.6001e+002,2.0001e+002,2.4001e+002,9.6019e+002
2021-01-06 02:00:00 PST,1.8007e+003,1.0402e+003,2.3211e+003,2.3611e+003,2.3611e+003,1.8007e+003,9.2017e+002,5.0452e+003,5.5262e+003,9.8196e+003,9.1771e+003,2.7615e+003,1.2403e+003,2.1209e+003,6.8009e+002,6.5687e+003,8.0013e+002,2.8002e+002,3.2822e+003,2.4001e+002,2.4001e+002
2021-01-06 02:15:00 PST,1.7606e+003,2.2010e+003,2.2811e+003,4.0433e+003,2.4412e+003,2.7615e+003,3.5626e+003,7.4513e+003,8.8158e+003,6.1276e+003,3.0419e+003,3.8831e+003,8.4014e+002,8.3340e+003,7.2010e+002,3.4824e+003,2.0008e+003,3.2002e+002,2.0001e+002,8.0001e+001,1.4004e+003
2021-01-06 02:30:00 PST,1.8007e+003,1.0002e+003,1.8407e+003,2.6014e+003,2.4812e+003,1.6405e+003,4.8047e+003,4.3639e+003,6.9699e+003,7.8125e+003,2.8416e+003,1.4282e+004,1.3477e+004,4.3238e+003,7.0902e+003,1.5605e+003,8.2681e+002,2.4001e+002,5.6006e+002,1.2000e+002,1.1603e+003
2021-01-06 02:45:00 PST,1.7206e+003,8.4014e+002,1.8807e+003,2.0809e+003,2.4812e+003,2.4012e+003,9.2017e+002,4.3238e+003,5.8069e+003,8.6553e+003,2.4813e+003,4.4841e+003,1.3558e+004,2.8817e+003,1.3236e+004,2.2811e+003,6.6490e+003,1.2000e+002,4.4039e+003,2.0001e+002,1.3204e+003
2021-01-06 03:00:00 PST,1.7206e+003,4.4004e+002,1.8007e+003,2.6414e+003,3.8029e+003,1.8807e+003,7.6012e+002,3.2421e+003,7.0100e+003,8.7355e+003,7.5716e+003,2.7615e+003,2.5213e+003,2.8817e+003,1.3557e+004,2.6414e+003,7.6012e+002,1.1203e+003,2.5213e+003,2.4001e+002,1.9608e+003
2021-01-06 03:15:00 PST,2.9618e+003,3.6003e+002,1.7606e+003,2.4812e+003,2.3611e+003,1.8807e+003,7.2011e+002,7.6519e+003,5.8469e+003,8.4144e+003,1.0864e+004,2.8016e+003,8.4014e+002,5.5663e+003,4.7646e+003,7.5716e+003,7.6012e+002,2.0001e+002,1.8807e+003,3.2002e+002,1.5205e+003
2021-01-06 03:30:00 PST,1.9207e+003,3.6003e+002,2.2410e+003,2.1209e+003,2.5213e+003,2.9618e+003,7.5315e+003,4.1635e+003,8.6150e+003,5.4460e+003,2.8416e+003,2.4812e+003,6.8009e+002,6.0875e+003,8.4014e+002,2.6414e+003,7.6012e+002,2.4001e+002,2.5613e+003,1.6001e+002,2.0809e+003
2021-01-06 03:45:00 PST,1.8807e+003,3.6003e+002,3.1220e+003,2.7215e+003,3.2421e+003,1.4804e+003,9.2017e+002,3.3623e+003,6.4083e+003,5.0051e+003,2.8416e+003,1.4523e+004,7.2010e+002,2.8416e+003,6.4008e+002,1.7606e+003,4.5241e+003,2.8002e+002,2.6014e+003,6.4008e+002,5.1253e+003
2021-01-06 04:00:00 PST,1.7206e+003,4.4004e+002,2.6815e+003,2.4412e+003,3.0018e+003,1.8007e+003,2.3211e+003,4.5242e+003,6.1276e+003,4.5642e+003,2.8416e+003,4.4039e+003,1.2472e+004,2.8016e+003,6.8009e+002,3.4424e+003,3.2021e+003,2.0001e+002,2.4812e+003,1.8807e+003,2.1209e+003
2021-01-06 04:15:00 PST,1.8407e+003,6.8009e+002,1.9608e+003,2.3211e+003,3.8430e+003,2.6815e+003,7.6012e+002,3.4024e+003,4.9650e+003,4.8047e+003,6.0474e+003,2.8817e+003,1.4080e+004,2.7215e+003,9.8597e+003,7.4914e+003,6.8009e+002,1.6001e+002,1.8407e+003,5.6006e+002,2.0408e+003
2021-01-06 04:30:00 PST,1.8807e+003,6.4008e+002,1.9207e+003,2.6815e+003,2.3611e+003,2.2410e+003,1.7206e+003,8.2138e+003,1.0864e+004,5.3659e+003,1.4483e+004,2.7616e+003,1.3357e+004,8.7356e+003,1.4000e+004,2.7215e+003,8.4014e+002,2.0001e+002,1.2003e+003,2.6414e+003,1.2003e+003
2021-01-06 04:45:00 PST,1.8007e+003,4.0003e+002,2.0809e+003,2.5213e+003,2.2410e+003,3.0419e+003,7.5717e+003,3.3623e+003,4.8848e+003,6.8897e+003,2.8416e+003,2.3211e+003,1.2673e+004,1.6806e+003,1.3195e+004,2.5613e+003,8.0013e+002,4.4004e+002,2.6815e+003,4.8005e+002,1.9608e+003
2021-01-06 05:00:00 PST,1.7206e+003,4.8005e+002,2.6014e+003,2.2010e+003,3.2421e+003,3.9632e+003,7.6012e+002,3.1620e+003,6.4083e+003,6.6891e+003,2.9618e+003,1.2753e+004,7.2011e+002,2.8016e+003,1.3477e+004,1.8407e+003,6.6490e+003,2.8002e+002,2.8016e+003,2.6014e+003,3.3222e+003
2021-01-06 05:15:00 PST,1.8007e+003,4.4004e+002,1.9207e+003,2.8817e+003,3.1620e+003,1.1603e+003,7.6012e+002,5.1654e+003,6.1276e+003,6.2880e+003,2.9217e+003,6.0474e+003,1.4804e+003,2.6814e+003,5.7667e+003,2.2810e+003,2.0008e+003,2.4001e+002,2.7615e+003,3.6003e+002,4.2436e+003
2021-01-06 05:30:00 PST,1.8807e+003,4.0003e+002,2.0008e+003,2.3611e+003,2.0008e+003,3.4824e+003,8.0013e+002,6.8094e+003,8.1735e+003,7.5716e+003,2.0408e+003,2.8016e+003,1.1603e+003,3.4824e+003,2.2810e+003,7.3709e+003,8.0013e+002,3.2002e+002,2.6014e+003,3.4824e+003,1.2803e+003
2021-01-06 05:45:00 PST,1.8007e+003,1.5605e+003,1.8807e+003,3.4424e+003,1.9207e+003,1.1603e+003,6.0073e+003,3.2421e+003,7.4111e+003,8.2136e+003,1.6173e+004,2.7215e+003,1.6405e+003,6.6890e+003,7.2010e+002,2.6014e+003,7.6012e+002,3.6003e+002,2.6814e+003,3.6003e+002,2.0809e+003
2021-01-06 06:00:00 PST,1.7206e+003,6.0007e+002,1.7606e+003,2.8817e+003,1.8807e+003,3.6026e+003,3.7228e+003,3.1620e+003,5.2856e+003,7.5716e+003,5.5262e+003,2.6014e+003,1.4161e+004,1.3203e+003,6.4008e+002,2.5213e+003,3.6427e+003,2.2010e+003,2.6014e+003,2.6814e+003,2.0408e+003
2021-01-06 06:15:00 PST,1.7206e+003,3.6003e+002,2.4812e+003,2.2810e+003,1.8006e+003,1.2403e+003,7.6012e+002,5.4861e+003,5.7266e+003,7.8123e+003,2.9217e+003,1.0944e+004,1.3959e+004,2.7215e+003,9.1368e+003,2.0408e+003,3.7721e+003,2.5613e+003,4.0003e+002,3.2002e+002,2.3611e+003
2021-01-06 06:30:00 PST,1.7206e+003,4.0003e+002,2.4412e+003,2.2810e+003,1.9207e+003,4.0834e+003,8.4014e+002,5.3257e+003,6.2880e+003,7.0902e+003,2.9217e+003,8.1334e+003,1.3960e+004,2.7615e+003,1.3396e+004,7.8123e+003,7.9533e+002,2.4412e+003,3.7228e+003,9.2017e+002,5.2455e+003
2021-01-06 06:45:00 PST,2.9217e+003,3.6003e+002,2.0008e+003,2.8416e+003,2.0008e+003,2.0809e+003,8.4014e+002,5.0050e+003,1.1306e+004,7.6918e+003,1.6405e+003,3.4824e+003,1.3999e+004,7.9325e+003,5.6063e+003,2.6814e+003,7.2010e+002,3.3222e+003,2.6814e+003,2.0809e+003,3.4824e+003
2021-01-06 07:00:00 PST,2.0408e+003,4.4004e+002,1.8006e+003,2.2810e+003,1.8807e+003,2.8016e+003,9.4982e+003,4.2837e+003,6.0473e+003,6.7291e+003,1.2471e+004,3.6827e+003,1.3477e+004,4.0833e+003,6.8009e+002,2.5613e+003,6.8009e+002,2.4812e+003,2.6814e+003,3.2002e+002,2.3211e+003
2021-01-06 07:15:00 PST,1.9207e+003,4.0003e+002,2.2410e+003,2.2410e+003,2.9217e+003,3.5625e+003,8.8015e+002,4.4439e+003,6.0874e+003,6.7290e+003,8.4141e+003,2.6814e+003,1.3677e+004,1.2803e+003,7.2010e+002,2.6414e+003,6.8092e+003,2.5213e+003,2.6013e+003,2.6013e+003,2.2810e+003
2021-01-06 07:30:00 PST,1.8407e+003,4.8005e+002,2.2410e+003,2.9217e+003,1.8407e+003,1.3604e+003,8.8015e+002,5.5661e+003,6.8493e+003,8.6147e+003,2.8416e+003,8.3338e+003,2.2010e+003,2.7215e+003,7.2010e+002,2.8416e+003,7.9773e+002,2.4011e+003,2.7215e+003,4.0003e+002,8.0127e+003
