# file...... Meter_611_C_Power.csv
# date...... Tue May 11 22:32:20 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_611_C:measured_power,xfmr_meter_611_C_1:measured_power,xfmr_meter_611_C_2:measured_power,xfmr_meter_611_C_3:measured_power,xfmr_meter_611_C_4:measured_power,xfmr_meter_611_C_5:measured_power,house_meter_611_C_1:measured_power,house_meter_611_C_2:measured_power,house_meter_611_C_3:measured_power,house_meter_611_C_4:measured_power,house_meter_611_C_5:measured_power,house_meter_611_C_6:measured_power,house_meter_611_C_7:measured_power,house_meter_611_C_8:measured_power,house_meter_611_C_9:measured_power,house_meter_611_C_10:measured_power,house_meter_611_C_11:measured_power,house_meter_611_C_12:measured_power,house_meter_611_C_13:measured_power,house_meter_611_C_14:measured_power,house_meter_611_C_15:measured_power,house_meter_611_C_16:measured_power,house_meter_611_C_17:measured_power,house_meter_611_C_18:measured_power,house_meter_611_C_19:measured_power,house_meter_611_C_20:measured_power,house_meter_611_C_21:measured_power,house_meter_611_C_22:measured_power,house_meter_611_C_23:measured_power
2021-01-06 00:00:00 PST,+50155.9+144.085j,+1440.3+0.388981j,+7170.51+10.859j,+5765.18+6.37421j,+18866.4+72.632j,+16913.2+53.5027j,+240.012+0.00112581d,+240.012+0.00112581d,+120.003+0.000562863d,+200.008+0.000938152d,+160.005+0.000750503d,+160.005+0.000750503d,+160.005+0.000750503d,+160.005+0.000750503d,+480.047+0.00225434d,+320.021+0.00150274d,+520.055+0.00244226d,+440.04+0.00206642d,+680.095+0.00319403d,+560.064+0.00263019d,+3482.48+0.0163741d,+680.095+0.00319403d,+360.027+0.00169019d,+400.033+0.00187803d,+360.027+0.00169019d,+680.095+0.00319321d,+1000.2+0.00469681d,+1000.2+0.00469681d,+1440.42+0.00676524d
2021-01-06 00:15:00 PST,+48119.7+152.122j,+2361.12+1.16657j,+4723.26+4.18334j,+8373.49+14.4485j,+7969.29+11.9134j,+24692.2+120.064j,+200.008+0.000935884d,+160.005+0.000748689d,+160.005+0.000748689d,+160.005+0.000748689d,+280.016+0.0013103d,+160.005+0.000748689d,+1120.26+0.00524391d,+120.003+0.000561503d,+720.106+0.00337172d,+440.039+0.00206014d,+640.084+0.00299694d,+280.016+0.00131087d,+480.047+0.00224748d,+680.094+0.00318432d,+800.131+0.00374654d,+680.094+0.00318432d,+560.064+0.00262396d,+360.026+0.00168662d,+600.073+0.00281145d,+800.131+0.00374906d,+800.131+0.00374906d,+800.131+0.00374906d,+3762.89+0.0176526d
2021-01-06 00:30:00 PST,+48685.9+153.608j,+2801.6+1.65463j,+4082.47+3.14039j,+8694.02+15.3641j,+7889.57+11.8612j,+25217.9+121.229j,+280.016+0.00131024d,+240.012+0.00112303d,+120.003+0.000561475d,+280.016+0.00131024d,+200.008+0.000935839d,+120.003+0.000561475d,+1360.38+0.00636823d,+200.008+0.000935839d,+440.039+0.00205963d,+920.173+0.00430778d,+560.064+0.00262155d,+320.021+0.00149781d,+320.021+0.00149781d,+480.047+0.00224693d,+560.064+0.00262155d,+480.047+0.00224693d,+720.106+0.00337375d,+480.047+0.00224884d,+480.047+0.00224884d,+680.094+0.00318625d,+1040.22+0.00487416d,+3682.77+0.017275d,+960.188+0.004499d
2021-01-06 00:45:00 PST,+44503.6+127.682j,+2921.66+1.76334j,+3521.82+2.32662j,+7087.54+9.49189j,+7849.37+11.6905j,+23123+102.111j,+240.012+0.0011217d,+200.008+0.000934725d,+1320.36+0.00617342d,+400.033+0.00186968d,+240.012+0.0011217d,+120.003+0.000560807d,+160.005+0.000747761d,+240.012+0.0011217d,+240.012+0.00112182d,+440.039+0.00205693d,+280.016+0.00130882d,+680.094+0.00317935d,+560.064+0.0026181d,+400.033+0.00186989d,+440.039+0.00205693d,+480.047+0.00224397d,+440.039+0.00205827d,+400.033+0.00187111d,+1080.24+0.00505411d,+1120.26+0.00524143d,+1480.45+0.0069277d,+760.118+0.0035559d,+1120.26+0.00524143d
2021-01-06 01:00:00 PST,+51242.3+144.79j,+7775.51+14.0321j,+4282.69+3.44856j,+9055.7+16.8932j,+7167.74+9.74146j,+22960.3+100.342j,+160.005+0.000751122d,+760.118+0.00356914d,+320.021+0.00150239d,+240.012+0.00112674d,+1080.24+0.00507293d,+240.012+0.00112674d,+4724.57+0.0222203d,+240.012+0.00112674d,+720.106+0.00337902d,+320.021+0.00150142d,+320.021+0.00150142d,+680.095+0.00319122d,+440.04+0.0020646d,+520.055+0.00244011d,+680.095+0.00319122d,+600.074+0.00281565d,+360.027+0.00169063d,+360.027+0.00169063d,+680.095+0.00319404d,+680.095+0.00319404d,+3883.09+0.0182607d,+840.144+0.00394596d,+1640.55+0.0077078d
2021-01-06 01:15:00 PST,+53184.9+169.777j,+6891.23+10.6478j,+5525.09+5.99179j,+7047.91+9.59646j,+7769.12+11.4674j,+25951.1+131.686j,+160.005+0.000751875d,+120.003+0.000563893d,+280.016+0.00131588d,+240.012+0.00112787d,+160.005+0.000751875d,+2401.18+0.0112936d,+3282.21+0.015443d,+240.012+0.00112787d,+680.095+0.00319567d,+480.047+0.00225549d,+560.064+0.00263153d,+200.008+0.000939628d,+440.04+0.00206748d,+1880.72+0.0088416d,+720.106+0.00338373d,+560.064+0.00263153d,+600.074+0.00282036d,+480.047+0.00225613d,+680.095+0.00319657d,+560.064+0.00263228d,+800.131+0.00376095d,+1080.24+0.00507815d,+2120.92+0.0099746d
2021-01-06 01:30:00 PST,+48578.4+116.774j,+7733.19+12.9865j,+4082.43+3.12193j,+5644.75+6.00617j,+13713.9+37.8093j,+17403.8+56.5811j,+120.003+0.000561313d,+1080.24+0.00505478d,+80.0013+0.000374199d,+160.005+0.000748435d,+200.008+0.000935567d,+200.008+0.000935567d,+3362.31+0.015748d,+2521.3+0.0118049d,+640.083+0.00299261d,+680.094+0.00317973d,+560.064+0.00261841d,+240.012+0.00112195d,+360.026+0.00168305d,+480.047+0.00224424d,+640.083+0.00299261d,+480.047+0.00224424d,+640.083+0.00299347d,+560.064+0.00261916d,+480.047+0.00224488d,+360.026+0.00168354d,+1000.2+0.00467833d,+880.158+0.00411662d,+1160.27+0.00542739d
2021-01-06 01:45:00 PST,+47874.1+142.601j,+7290.93+11.2281j,+5204.51+5.2995j,+4362.99+3.65235j,+6285.81+7.42117j,+24729.5+114.664j,+200.008+0.000935853d,+960.188+0.00449418d,+160.005+0.000748664d,+240.012+0.00112305d,+240.012+0.00112305d,+3081.94+0.0144376d,+2040.85+0.00955646d,+360.026+0.0016847d,+480.047+0.00224557d,+640.083+0.00299438d,+400.033+0.00187122d,+600.073+0.00280717d,+1800.66+0.00842769d,+240.012+0.00112262d,+440.039+0.00205839d,+600.073+0.00280717d,+280.016+0.00130955d,+240.012+0.00112245d,+160.005+0.000748261d,+560.064+0.00261955d,+760.118+0.00355554d,+680.094+0.00318112d,+1120.26+0.0052409d
2021-01-06 02:00:00 PST,+57602.1+186.164j,+14569.4+47.1654j,+3842.16+2.77067j,+7249.35+10.5273j,+7368.46+10.3933j,+24572.3+114.886j,+360.026+0.00168895d,+920.173+0.00431771d,+120.003+0.000562896d,+280.016+0.00131356d,+80.0013+0.000375251d,+7692.13+0.036194d,+2601.38+0.0122148d,+2481.26+0.0116502d,+320.021+0.00149829d,+360.026+0.00168561d,+360.026+0.00168561d,+680.094+0.00318457d,+640.084+0.00299717d,+360.026+0.00168561d,+520.055+0.00243502d,+600.073+0.00280977d,+200.008+0.000936944d,+360.026+0.00168667d,+480.047+0.00224906d,+640.084+0.00299905d,+680.094+0.00318657d,+680.094+0.00318657d,+1560.5+0.00731431d
2021-01-06 02:15:00 PST,+58873.1+179.286j,+13398+38.4161j,+5164.35+5.18549j,+5925.13+6.5879j,+10900.4+23.4952j,+23484.8+105.192j,+200.008+0.000938658d,+1320.36+0.00619937d,+200.008+0.000938658d,+1200.29+0.00563538d,+240.012+0.00112642d,+6448.52+0.030341d,+2521.3+0.0118439d,+1240.31+0.00582337d,+640.084+0.00299994d,+440.04+0.00206221d,+480.047+0.00224974d,+1680.58+0.00787985d,+240.012+0.0011247d,+640.084+0.00299994d,+600.074+0.00281237d,+440.04+0.00206221d,+600.074+0.00281277d,+560.064+0.00262519d,+680.094+0.00318796d,+480.047+0.00225005d,+920.173+0.00431375d,+1000.2+0.00468909d,+1040.22+0.00487678d
