# file...... Meter_645_B_Power.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_645_B:measured_power,xfmr_meter_645_B_1:measured_power,xfmr_meter_645_B_2:measured_power,xfmr_meter_645_B_3:measured_power,xfmr_meter_645_B_4:measured_power,xfmr_meter_645_B_5:measured_power,house_meter_645_B_1:measured_power,house_meter_645_B_2:measured_power,house_meter_645_B_3:measured_power,house_meter_645_B_4:measured_power,house_meter_645_B_5:measured_power,house_meter_645_B_6:measured_power,house_meter_645_B_7:measured_power,house_meter_645_B_8:measured_power,house_meter_645_B_9:measured_power,house_meter_645_B_10:measured_power,house_meter_645_B_11:measured_power,house_meter_645_B_12:measured_power,house_meter_645_B_13:measured_power,house_meter_645_B_14:measured_power,house_meter_645_B_15:measured_power,house_meter_645_B_16:measured_power,house_meter_645_B_17:measured_power,house_meter_645_B_18:measured_power,house_meter_645_B_19:measured_power,house_meter_645_B_20:measured_power,house_meter_645_B_21:measured_power,house_meter_645_B_22:measured_power,house_meter_645_B_23:measured_power
2021-01-06 00:00:00 PST,+35861.6+76.8871j,+3201.49+1.89779j,+7969.23+11.7563j,+5123.99+4.93149j,+17486.1+57.2861j,+2080.62+0.7977j,+280.016+0.00128914d,+240.012+0.00110495d,+600.072+0.00276298d,+240.012+0.00110495d,+440.039+0.00202599d,+360.026+0.00165755d,+480.046+0.00221022d,+560.063+0.00257872d,+1160.27+0.00534817d,+760.116+0.00350313d,+1480.44+0.00682485d,+800.129+0.0036876d,+600.072+0.00276536d,+880.156+0.00405655d,+1520.46+0.00700947d,+760.116+0.00350313d,+520.054+0.0023953d,+600.072+0.00276394d,+560.063+0.00257961d,+320.021+0.00147385d,+1280.33+0.00589882d,+640.082+0.00294827d,+960.185+0.00442326d
2021-01-06 00:15:00 PST,+32532.5+64.8163j,+2360.81+1.03478j,+7488.15+10.3913j,+4843.63+4.43508j,+15959.3+48.12j,+1880.51+0.65246j,+240.012+0.00110663d,+160.005+0.000737721d,+240.012+0.00110663d,+480.046+0.00221359d,+200.008+0.000922174d,+360.026+0.00166007d,+400.032+0.00184457d,+280.016+0.0012911d,+1000.2+0.00461738d,+680.093+0.00313921d,+1400.39+0.00646589d,+960.185+0.00443258d,+800.129+0.00369346d,+640.082+0.00295448d,+1400.39+0.00646589d,+600.072+0.00276976d,+400.032+0.0018454d,+520.054+0.00239919d,+440.039+0.00202999d,+360.026+0.00166082d,+1240.31+0.00572363d,+720.104+0.00332236d,+960.185+0.00443045d
2021-01-06 00:30:00 PST,+33340.6+74.2956j,+2440.87+1.10442j,+6045.42+6.81606j,+5324.34+5.34355j,+17849.4+60.3023j,+1680.4+0.520614j,+360.026+0.00166045d,+240.012+0.00110688d,+360.026+0.00166045d,+240.012+0.00110688d,+240.012+0.00110688d,+280.016+0.0012914d,+520.054+0.00239866d,+200.008+0.00092238d,+880.156+0.0040628d,+600.072+0.00276962d,+760.116+0.00350853d,+320.021+0.00147688d,+600.072+0.00276962d,+760.116+0.00350853d,+1440.42+0.00665047d,+680.093+0.00313906d,+480.046+0.00221525d,+640.082+0.00295395d,+360.026+0.00166131d,+560.063+0.00258458d,+1360.37+0.00627987d,+680.093+0.00313865d,+1000.2+0.00461655d
2021-01-06 00:45:00 PST,+32164.6+55.1554j,+3081.43+1.78149j,+7448.27+10.3674j,+6205.67+7.16725j,+13628.6+35.0878j,+1800.46+0.595879j,+560.063+0.00258405d,+520.054+0.00239942d,+280.016+0.00129181d,+240.012+0.00110724d,+200.008+0.000922676d,+320.021+0.00147639d,+720.104+0.00332267d,+240.012+0.00110724d,+840.142+0.00387981d,+960.185+0.00443438d,+1080.23+0.00498904d,+520.054+0.00240132d,+280.016+0.00129283d,+1120.25+0.00517395d,+1680.57+0.00776355d,+960.185+0.00443438d,+880.156+0.00406374d,+760.116+0.00350934d,+680.093+0.00313978d,+600.072+0.00277026d,+1280.33+0.00591232d,+720.104+0.00332456d,+1040.22+0.00480307d
2021-01-06 01:00:00 PST,+34298.6+71.0693j,+2761.1+1.4069j,+6365.83+7.48163j,+6848.08+9.19139j,+16603+52.2454j,+1720.42+0.54547j,+360.026+0.00165841d,+280.016+0.00128981d,+240.012+0.00110553d,+240.012+0.00110553d,+480.046+0.00221137d,+480.046+0.00221137d,+280.016+0.00128981d,+400.032+0.00184272d,+680.093+0.0031352d,+840.142+0.00387327d,+1080.23+0.00498064d,+600.072+0.00276622d,+360.026+0.00165949d,+840.142+0.00387327d,+1000.2+0.00461148d,+960.185+0.00442692d,+600.072+0.00276647d,+600.072+0.00276647d,+600.072+0.00276647d,+480.046+0.00221301d,+2601.36+0.0120025d,+680.093+0.00313548d,+1000.2+0.00461189d
2021-01-06 01:15:00 PST,+28517.1+45.1287j,+2801.15+1.45519j,+5844.96+6.31787j,+5604.85+5.92515j,+12745.7+30.8792j,+1520.33+0.425009j,+240.012+0.00110388d,+400.032+0.00183998d,+480.046+0.00220808d,+320.021+0.00147191d,+240.012+0.00110388d,+200.008+0.000919877d,+320.021+0.00147191d,+600.072+0.0027603d,+600.072+0.00276182d,+640.082+0.00294601d,+1240.31+0.00570996d,+600.072+0.00276182d,+480.046+0.00220929d,+600.072+0.00276182d,+680.093+0.00313021d,+1000.2+0.00460414d,+560.063+0.00257752d,+720.104+0.00331428d,+400.032+0.00184091d,+640.082+0.00294588d,+1600.51+0.00736896d,+680.093+0.00313007d,+760.116+0.00349849d
2021-01-06 01:30:00 PST,+29121.2+50.3535j,+2681.03+1.32852j,+4442.79+3.63019j,+6406.46+7.81067j,+13950.4+36.9463j,+1640.38+0.496551j,+320.021+0.00147734d,+320.021+0.00147734d,+280.016+0.00129264d,+560.063+0.00258572d,+320.021+0.00147734d,+280.016+0.00129264d,+320.021+0.00147734d,+280.016+0.00129264d,+560.063+0.00258655d,+520.054+0.00240174d,+680.093+0.00314103d,+480.046+0.00221693d,+440.039+0.00203214d,+640.082+0.0029562d,+640.082+0.0029562d,+480.046+0.00221693d,+720.104+0.00332707d,+720.104+0.00332707d,+440.039+0.00203286d,+560.063+0.00258747d,+1560.49+0.00721231d,+640.082+0.00295725d,+1560.49+0.00721231d
2021-01-06 01:45:00 PST,+32624.1+75.0078j,+2280.74+0.958745j,+4603.06+3.9207j,+5725.57+6.40402j,+17974+62.7334j,+2040.64+0.78516j,+320.021+0.00147725d,+320.021+0.00147725d,+200.008+0.000923213d,+200.008+0.000923213d,+320.021+0.00147725d,+360.026+0.00166194d,+320.021+0.00147725d,+240.012+0.00110788d,+800.129+0.00369574d,+600.072+0.00277147d,+480.046+0.00221702d,+440.039+0.00203222d,+320.021+0.00147787d,+720.104+0.00332601d,+760.116+0.00351087d,+480.046+0.00221702d,+560.063+0.00258717d,+400.032+0.0018478d,+520.054+0.00240232d,+360.026+0.00166298d,+1480.44+0.00684133d,+1800.65+0.00832215d,+200.008+0.000923789d
2021-01-06 02:00:00 PST,+26757.8+43.4874j,+3241.59+1.97366j,+4803.35+4.2772j,+3722.25+2.66623j,+13070+33.7719j,+1920.53+0.680097j,+600.072+0.00277179d,+680.093+0.00314151d,+320.021+0.00147804d,+240.012+0.00110847d,+200.008+0.000923706d,+320.021+0.00147804d,+640.082+0.00295664d,+240.012+0.00110847d,+680.093+0.0031424d,+1000.2+0.00462207d,+600.072+0.00277257d,+440.039+0.00203302d,+400.032+0.00184816d,+680.093+0.0031424d,+560.063+0.00258767d,+440.039+0.00203302d,+400.032+0.0018478d,+400.032+0.0018478d,+560.063+0.00258716d,+360.026+0.00166298d,+1240.31+0.00573107d,+240.012+0.00110857d,+280.016+0.00129336d
2021-01-06 02:15:00 PST,+28490.2+56.2684j,+3081.37+1.75478j,+3601.84+2.38623j,+4843.85+4.52451j,+15322.7+46.9569j,+1640.38+0.495214j,+520.054+0.00239967d,+280.016+0.00129194d,+320.021+0.00147654d,+240.012+0.00110735d,+520.054+0.00239967d,+480.046+0.00221502d,+400.032+0.00184576d,+320.021+0.00147654d,+440.039+0.00203058d,+320.021+0.00147668d,+400.032+0.00184594d,+480.046+0.00221523d,+560.063+0.00258456d,+560.063+0.00258456d,+440.039+0.00203058d,+400.032+0.00184594d,+440.039+0.00203104d,+560.063+0.00258515d,+240.012+0.00110771d,+480.046+0.00221573d,+1080.23+0.0049872d,+280.016+0.00129235d,+280.016+0.00129235d
2021-01-06 02:30:00 PST,+26728.3+51.3633j,+2520.92+1.1751j,+3281.56+1.99204j,+4604.04+4.31189j,+14481.2+43.1264j,+1840.48+0.624235j,+280.016+0.00128994d,+360.026+0.00165857d,+440.039+0.00202724d,+280.016+0.00128994d,+200.008+0.00092134d,+240.012+0.00110563d,+240.012+0.00110563d,+480.046+0.00221159d,+520.054+0.00239628d,+400.032+0.00184316d,+280.016+0.00129012d,+320.021+0.00147445d,+320.021+0.00147445d,+680.093+0.00313389d,+440.039+0.00202752d,+320.021+0.00147445d,+600.072+0.00276573d,+400.032+0.0018436d,+360.026+0.0016592d,+360.026+0.0016592d,+2080.87+0.00959643d,+280.016+0.00129042d,+280.016+0.00129042d
2021-01-06 02:45:00 PST,+22668.8+30.8137j,+2761.14+1.425j,+3842.08+2.70747j,+3882.34+2.84904j,+10542.8+23.255j,+1640.39+0.496835j,+240.012+0.00110515d,+400.032+0.0018421d,+320.021+0.00147361d,+680.093+0.00313209d,+160.005+0.000736732d,+240.012+0.00110515d,+280.016+0.00128937d,+440.039+0.00202635d,+520.054+0.00239537d,+600.072+0.00276402d,+480.046+0.00221105d,+400.032+0.00184246d,+400.032+0.00184246d,+560.063+0.00257969d,+440.039+0.00202675d,+440.039+0.00202675d,+560.063+0.00257971d,+280.016+0.00128964d,+520.054+0.00239538d,+400.032+0.00184247d,+1080.23+0.00497671d,+200.008+0.000921124d,+240.012+0.00110538d
2021-01-06 03:00:00 PST,+21545.4+27.2932j,+2280.74+0.958669j,+3802.03+2.65086j,+3561.96+2.39664j,+9899.99+20.4579j,+2000.62+0.757724j,+240.012+0.00110601d,+280.016+0.00129037d,+200.008+0.000921649d,+440.039+0.00202792d,+320.021+0.00147475d,+280.016+0.00129037d,+280.016+0.00129037d,+240.012+0.00110601d,+480.046+0.00221294d,+480.046+0.00221294d,+520.054+0.00239741d,+480.046+0.00221294d,+400.032+0.00184403d,+480.046+0.00221294d,+400.032+0.00184403d,+560.063+0.00258189d,+360.026+0.00165951d,+400.032+0.00184395d,+400.032+0.00184395d,+440.039+0.00202839d,+1000.2+0.00461154d,+200.008+0.000921863d,+200.008+0.000921863d
2021-01-06 03:15:00 PST,+26163.3+48.0602j,+2921.24+1.58197j,+3561.81+2.3403j,+3762.18+2.67194j,+14237.5+40.8118j,+1680.42+0.525954j,+280.016+0.00129195d,+560.063+0.00258434d,+240.012+0.00110736d,+280.016+0.00129195d,+320.021+0.00147655d,+440.039+0.00203041d,+520.054+0.00239969d,+280.016+0.00129195d,+280.016+0.0012921d,+520.054+0.00239996d,+360.026+0.00166135d,+560.063+0.00258464d,+480.046+0.0022153d,+600.072+0.00276932d,+400.032+0.00184599d,+360.026+0.00166135d,+600.072+0.00276942d,+480.046+0.00221538d,+320.021+0.00147678d,+400.032+0.00184606d,+1040.22+0.00480161d,+240.012+0.00110753d,+240.012+0.00110753d
