# file...... Meter_645_B_Power.real.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_645_B:measured_power.real,xfmr_meter_645_B_1:measured_power.real,xfmr_meter_645_B_2:measured_power.real,xfmr_meter_645_B_3:measured_power.real,xfmr_meter_645_B_4:measured_power.real,xfmr_meter_645_B_5:measured_power.real,house_meter_645_B_1:measured_power.real,house_meter_645_B_2:measured_power.real,house_meter_645_B_3:measured_power.real,house_meter_645_B_4:measured_power.real,house_meter_645_B_5:measured_power.real,house_meter_645_B_6:measured_power.real,house_meter_645_B_7:measured_power.real,house_meter_645_B_8:measured_power.real,house_meter_645_B_9:measured_power.real,house_meter_645_B_10:measured_power.real,house_meter_645_B_11:measured_power.real,house_meter_645_B_12:measured_power.real,house_meter_645_B_13:measured_power.real,house_meter_645_B_14:measured_power.real,house_meter_645_B_15:measured_power.real,house_meter_645_B_16:measured_power.real,house_meter_645_B_17:measured_power.real,house_meter_645_B_18:measured_power.real,house_meter_645_B_19:measured_power.real
2021-01-06 00:00:00 PST,3.5862e+004,3.2015e+003,7.9692e+003,5.1240e+003,1.7486e+004,2.0806e+003,2.8002e+002,2.4001e+002,6.0007e+002,2.4001e+002,4.4004e+002,3.6003e+002,4.8005e+002,5.6006e+002,1.1603e+003,7.6012e+002,1.4804e+003,8.0013e+002,6.0007e+002,8.8016e+002,1.5205e+003,7.6012e+002,5.2005e+002,6.0007e+002,5.6006e+002
2021-01-06 00:15:00 PST,3.2533e+004,2.3608e+003,7.4881e+003,4.8436e+003,1.5959e+004,1.8805e+003,2.4001e+002,1.6001e+002,2.4001e+002,4.8005e+002,2.0001e+002,3.6003e+002,4.0003e+002,2.8002e+002,1.0002e+003,6.8009e+002,1.4004e+003,9.6019e+002,8.0013e+002,6.4008e+002,1.4004e+003,6.0007e+002,4.0003e+002,5.2005e+002,4.4004e+002
2021-01-06 00:30:00 PST,3.3341e+004,2.4409e+003,6.0454e+003,5.3243e+003,1.7849e+004,1.6804e+003,3.6003e+002,2.4001e+002,3.6003e+002,2.4001e+002,2.4001e+002,2.8002e+002,5.2005e+002,2.0001e+002,8.8016e+002,6.0007e+002,7.6012e+002,3.2002e+002,6.0007e+002,7.6012e+002,1.4404e+003,6.8009e+002,4.8005e+002,6.4008e+002,3.6003e+002
2021-01-06 00:45:00 PST,3.2165e+004,3.0814e+003,7.4483e+003,6.2057e+003,1.3629e+004,1.8005e+003,5.6006e+002,5.2005e+002,2.8002e+002,2.4001e+002,2.0001e+002,3.2002e+002,7.2010e+002,2.4001e+002,8.4014e+002,9.6019e+002,1.0802e+003,5.2005e+002,2.8002e+002,1.1203e+003,1.6806e+003,9.6019e+002,8.8016e+002,7.6012e+002,6.8009e+002
2021-01-06 01:00:00 PST,3.4299e+004,2.7611e+003,6.3658e+003,6.8481e+003,1.6603e+004,1.7204e+003,3.6003e+002,2.8002e+002,2.4001e+002,2.4001e+002,4.8005e+002,4.8005e+002,2.8002e+002,4.0003e+002,6.8009e+002,8.4014e+002,1.0802e+003,6.0007e+002,3.6003e+002,8.4014e+002,1.0002e+003,9.6019e+002,6.0007e+002,6.0007e+002,6.0007e+002
2021-01-06 01:15:00 PST,2.8517e+004,2.8011e+003,5.8450e+003,5.6048e+003,1.2746e+004,1.5203e+003,2.4001e+002,4.0003e+002,4.8005e+002,3.2002e+002,2.4001e+002,2.0001e+002,3.2002e+002,6.0007e+002,6.0007e+002,6.4008e+002,1.2403e+003,6.0007e+002,4.8005e+002,6.0007e+002,6.8009e+002,1.0002e+003,5.6006e+002,7.2010e+002,4.0003e+002
2021-01-06 01:30:00 PST,2.9121e+004,2.6810e+003,4.4428e+003,6.4065e+003,1.3950e+004,1.6404e+003,3.2002e+002,3.2002e+002,2.8002e+002,5.6006e+002,3.2002e+002,2.8002e+002,3.2002e+002,2.8002e+002,5.6006e+002,5.2005e+002,6.8009e+002,4.8005e+002,4.4004e+002,6.4008e+002,6.4008e+002,4.8005e+002,7.2010e+002,7.2010e+002,4.4004e+002
2021-01-06 01:45:00 PST,3.2624e+004,2.2807e+003,4.6031e+003,5.7256e+003,1.7974e+004,2.0406e+003,3.2002e+002,3.2002e+002,2.0001e+002,2.0001e+002,3.2002e+002,3.6003e+002,3.2002e+002,2.4001e+002,8.0013e+002,6.0007e+002,4.8005e+002,4.4004e+002,3.2002e+002,7.2010e+002,7.6012e+002,4.8005e+002,5.6006e+002,4.0003e+002,5.2005e+002
2021-01-06 02:00:00 PST,2.6758e+004,3.2416e+003,4.8033e+003,3.7223e+003,1.3070e+004,1.9205e+003,6.0007e+002,6.8009e+002,3.2002e+002,2.4001e+002,2.0001e+002,3.2002e+002,6.4008e+002,2.4001e+002,6.8009e+002,1.0002e+003,6.0007e+002,4.4004e+002,4.0003e+002,6.8009e+002,5.6006e+002,4.4004e+002,4.0003e+002,4.0003e+002,5.6006e+002
2021-01-06 02:15:00 PST,2.8490e+004,3.0814e+003,3.6018e+003,4.8438e+003,1.5323e+004,1.6404e+003,5.2005e+002,2.8002e+002,3.2002e+002,2.4001e+002,5.2005e+002,4.8005e+002,4.0003e+002,3.2002e+002,4.4004e+002,3.2002e+002,4.0003e+002,4.8005e+002,5.6006e+002,5.6006e+002,4.4004e+002,4.0003e+002,4.4004e+002,5.6006e+002,2.4001e+002
