# file...... Meter_652A_Current.csv
# date...... Mon May 03 04:24:59 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_17:measured_current_1.real,house_meter_18:measured_current_1.real,house_meter_19:measured_current_1.real,house_meter_20:measured_current_1.real,house_meter_21:measured_current_1.real,house_meter_22:measured_current_1.real,house_meter_23:measured_current_1.real,house_meter_24:measured_current_1.real
2021-01-06 00:00:00 PST,+41.18,+15.9759,+23.4625,+15.2956,+30.9546,+20.0588,+43.5674,+21.4202
2021-01-06 00:15:00 PST,+9.14161,+15.5795,+24.7349,+16.2574,+9.14161,+25.0742,+31.522,+54.972
2021-01-06 00:30:00 PST,+9.13852,+14.8966,+23.3701,+16.2519,+9.13852,+21.3359,+28.1184,+61.7582
2021-01-06 00:45:00 PST,+23.0215,+15.9064,+22.3436,+16.2451,+9.13472,+22.6826,+20.6492,+61.3922
2021-01-06 01:00:00 PST,+11.8848,+16.6426,+19.0224,+29.2274,+9.84647,+31.6101,+27.1856,+60.2451
2021-01-06 01:15:00 PST,+3.39584,+14.6101,+26.5174,+33.3277,+9.17135,+17.6706,+22.7736,+60.6146
2021-01-06 01:30:00 PST,+1.6858,+16.1951,+14.8445,+15.5198,+10.1189,+16.5327,+25.654,+22.2748
2021-01-06 01:45:00 PST,+2.02394,+15.8648,+15.1892,+15.8648,+8.43568,+16.2026,+27.0185,+19.5814
2021-01-06 02:00:00 PST,+5.73392,+17.5491,+14.5096,+15.185,+8.77082,+19.5759,+19.9138,+19.9138
2021-01-06 02:15:00 PST,+5.74367,+25.7025,+14.5343,+14.8726,+18.594,+19.2708,+34.1713,+20.6245
2021-01-06 02:30:00 PST,+1.68884,+14.5331,+15.5478,+15.2095,+8.44696,+15.5478,+21.9765,+20.9612
2021-01-06 02:45:00 PST,+1.68888,+14.5335,+14.8717,+14.5335,+7.09518,+15.8864,+17.5779,+20.9618
2021-01-06 03:00:00 PST,+5.74089,+15.2034,+14.8653,+14.5273,+3.71433,+15.2034,+22.3061,+32.1225
2021-01-06 03:15:00 PST,+12.8371,+15.5417,+16.218,+25.0134,+3.03893,+14.8655,+20.9531,+19.9382
2021-01-06 03:30:00 PST,+2.022,+15.5121,+15.8496,+16.1871,+3.03314,+18.8874,+17.8747,+21.2508
2021-01-06 03:45:00 PST,+4.05034,+14.5211,+16.2109,+15.8729,+3.0376,+26.3557,+22.973,+27.3707
2021-01-06 04:00:00 PST,+5.73733,+16.2077,+16.5457,+14.5182,+3.71202,+22.6304,+20.6017,+25.3358
2021-01-06 04:15:00 PST,+2.70142,+15.2047,+14.5285,+15.5428,+5.74136,+16.5573,+19.6013,+32.4638
2021-01-06 04:30:00 PST,+3.72168,+14.8948,+14.556,+15.9111,+5.4138,+16.2499,+22.6893,+19.9775
2021-01-06 04:45:00 PST,+4.7292,+16.2234,+25.6989,+15.2087,+3.37778,+17.5766,+21.2985,+18.9298
2021-01-06 05:00:00 PST,+3.04052,+14.8733,+14.8733,+14.535,+4.05423,+21.9795,+18.595,+27.397
2021-01-06 05:15:00 PST,+5.39537,+14.5065,+15.1817,+15.1817,+3.70901,+16.1946,+24.3014,+26.6671
2021-01-06 05:30:00 PST,+1.68518,+15.1765,+15.8515,+15.8515,+3.37063,+16.8642,+19.9026,+16.8642
2021-01-06 05:45:00 PST,+2.36382,+18.5875,+15.5436,+15.2054,+13.1768,+15.8818,+29.0789,+16.2199
2021-01-06 06:00:00 PST,+5.74011,+26.0249,+15.5394,+14.5253,+5.06463,+14.8633,+24.333,+15.8775
2021-01-06 06:15:00 PST,+2.70105,+15.5407,+15.2026,+14.5264,+3.03873,+20.9516,+19.2604,+15.2026
2021-01-06 06:30:00 PST,+16.9286,+14.5569,+14.8957,+14.5569,+3.38349,+20.6566,+19.3008,+16.2509
2021-01-06 06:45:00 PST,+3.71698,+14.5376,+14.876,+24.6923,+3.04106,+16.9062,+24.015,+16.9062
2021-01-06 07:00:00 PST,+2.02704,+14.5359,+14.8742,+17.2426,+3.71654,+15.2125,+19.273,+15.8892
2021-01-06 07:15:00 PST,+6.43292,+15.5814,+15.5814,+16.2594,+3.38525,+18.9717,+18.9717,+24.7379
2021-01-06 07:30:00 PST,+1.68998,+15.2198,+15.8968,+15.5583,+4.05641,+18.9436,+24.7013,+15.5583
