# file...... Meter_652A_Power.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_652_A:measured_power,xfmr_meter_652_A_1:measured_power,xfmr_meter_652_A_2:measured_power,xfmr_meter_652_A_3:measured_power,xfmr_meter_652_A_4:measured_power,xfmr_meter_652_A_5:measured_power,house_meter_652_A_1:measured_power,house_meter_652_A_2:measured_power,house_meter_652_A_3:measured_power,house_meter_652_A_4:measured_power,house_meter_652_A_5:measured_power,house_meter_652_A_6:measured_power,house_meter_652_A_7:measured_power,house_meter_652_A_8:measured_power,house_meter_652_A_9:measured_power,house_meter_652_A_10:measured_power,house_meter_652_A_11:measured_power,house_meter_652_A_12:measured_power,house_meter_652_A_13:measured_power,house_meter_652_A_14:measured_power,house_meter_652_A_15:measured_power,house_meter_652_A_16:measured_power,house_meter_652_A_17:measured_power,house_meter_652_A_18:measured_power,house_meter_652_A_19:measured_power,house_meter_652_A_20:measured_power,house_meter_652_A_21:measured_power,house_meter_652_A_22:measured_power,house_meter_652_A_23:measured_power
2021-01-06 00:00:00 PST,+128486+736.856j,+23201.2+101.702j,+19428.9+76.0961j,+25013.4+117.82j,+45267.7+386.623j,+15573.4+52.5533j,+1080.24+0.00505661d,+4283.75+0.0200785d,+1000.2+0.00468182d,+4083.4+0.0191379d,+2200.99+0.0103076d,+3883.08+0.0181976d,+3162.04+0.0148141d,+3442.42+0.0161296d,+1040.22+0.00486583d,+920.173+0.00430407d,+1360.38+0.00636425d,+680.094+0.0031808d,+2281.06+0.0106755d,+2401.18+0.0112382d,+7812.47+0.0366456d,+2881.69+0.0134898d,+4844.79+0.0227211d,+1880.72+0.00880952d,+2761.56+0.0129401d,+1800.66+0.00843423d,+3642.71+0.0170752d,+2361.14+0.011062d,+5125.37+0.0240397d
2021-01-06 00:15:00 PST,+99363.8+443.088j,+21630.7+88.1035j,+14190.4+37.8965j,+22077.7+93.4061j,+33050.2+207.786j,+8414+14.6553j,+1160.27+0.0053999d,+2721.5+0.0126739d,+2120.91+0.00987456d,+2641.42+0.0123005d,+1000.2+0.00465463d,+3682.75+0.0171571d,+3362.24+0.0152936d,+4884.84+0.0227684d,+1600.52+0.00743997d,+1760.63+0.00818477d,+1440.42+0.00669533d,+880.157+0.00409019d,+2040.84+0.00948851d,+1920.75+0.00892971d,+3562.57+0.0165737d,+960.187+0.00446225d,+1080.24+0.00502767d,+1840.69+0.00856962d,+2921.73+0.0136086d,+1920.75+0.00894265d,+1080.24+0.00502767d,+2961.78+0.0137953d,+3722.81+0.0173454d
2021-01-06 00:30:00 PST,+96663.1+402.73j,+17807.6+59.5993j,+13265.8+32.8338j,+21798.4+92.1375j,+30351.3+178.345j,+13439+38.7075j,+1160.27+0.00539531d,+2801.59+0.0130362d,+1120.25+0.00520914d,+1200.27+0.00522179d,+1680.57+0.00781637d,+3202.08+0.0149021d,+3282.18+0.0152754d,+3322.24+0.0154621d,+1560.49+0.00725149d,+1320.35+0.00613498d,+1480.44+0.00687929d,+960.187+0.00446083d,+1840.69+0.00855449d,+2961.78+0.013771d,+1840.69+0.00855449d,+1280.33+0.00594893d,+1080.24+0.00502667d,+1760.63+0.00819499d,+2761.55+0.0128591d,+1920.75+0.00894086d,+1080.24+0.00502667d,+2521.29+0.0117392d,+3322.24+0.0154734d
2021-01-06 00:45:00 PST,+89306+367.601j,+17647+58.5622j,+11138+23.0534j,+22682.4+98.6575j,+30066.5+174.066j,+7771.31+12.2395j,+1400.4+0.00650404d,+2761.54+0.0128329d,+880.157+0.00408696d,+1440.42+0.00669003d,+1240.31+0.00576016d,+3121.97+0.0145099d,+3602.57+0.016379d,+3162.02+0.0146963d,+1040.22+0.00482477d,+1200.29+0.00556758d,+1920.75+0.00891203d,+800.129+0.00371082d,+1960.78+0.00909792d,+1240.31+0.00575331d,+1840.68+0.00854028d,+1120.25+0.00519616d,+2721.5+0.0126583d,+1880.72+0.00874462d,+2641.41+0.0122854d,+1920.75+0.0089309d,+1080.24+0.00502106d,+2681.46+0.0124718d,+2441.21+0.0113533d
2021-01-06 01:00:00 PST,+121973+661.288j,+16722.1+52.7519j,+14391.2+39.0752j,+24293.7+113.272j,+37543.2+270.258j,+29021.9+184.144j,+1880.72+0.00878176d,+2801.6+0.0130866d,+1000.2+0.00466864d,+1360.38+0.00635075d,+1080.24+0.00504238d,+1960.78+0.0091559d,+3482.47+0.0162715d,+3121.98+0.014585d,+2761.55+0.0128938d,+1000.2+0.00466664d,+2401.17+0.0112095d,+880.157+0.00410634d,+2841.64+0.0132682d,+1760.63+0.0082171d,+1840.69+0.00859102d,+880.157+0.00410634d,+1400.4+0.00654683d,+1960.78+0.0091687d,+2241.02+0.0104803d,+3442.42+0.0161066d,+1160.27+0.00542372d,+3722.82+0.0174206d,+3202.09+0.0149807d
2021-01-06 01:15:00 PST,+133347+1036.03j,+12664.2+30.3189j,+11861.3+26.6111j,+22202.4+96.3757j,+63085.4+754.308j,+23531.4+125.549j,+1200.29+0.00561078d,+2801.6+0.0131047d,+920.172+0.00430086d,+1920.72+0.00861478d,+2401.17+0.0112298d,+880.158+0.00411377d,+1000.2+0.00467508d,+1520.47+0.00710838d,+2481.25+0.011603d,+640.083+0.00299095d,+1640.55+0.007669d,+720.106+0.00336499d,+2000.82+0.0093545d,+1520.47+0.00710733d,+2000.82+0.0093545d,+840.144+0.0039261d,+400.033+0.00187264d,+1720.6+0.00805886d,+3121.99+0.014631d,+3923.14+0.0183915d,+1080.24+0.00505823d,+2080.88+0.00974775d,+2681.47+0.0125642d
2021-01-06 01:30:00 PST,+81925.4+291.99j,+10416.3+20.3467j,+10456.4+20.5002j,+14592+39.9361j,+25018.7+119.26j,+21441.4+91.1388j,+1080.24+0.0049992d,+2681.45+0.0124175d,+640.083+0.0029617d,+1000.2+0.00462866d,+1160.27+0.00536977d,+1600.52+0.00740855d,+1240.29+0.00538197d,+1000.2+0.00462866d,+680.093+0.00314691d,+800.129+0.00370251d,+1040.22+0.00481396d,+840.142+0.00388773d,+1920.74+0.00889205d,+1000.2+0.0046287d,+1960.78+0.00907752d,+2200.98+0.0101905d,+200.008+0.000925989d,+1920.74+0.00889876d,+1760.63+0.00815641d,+1840.68+0.00852757d,+1200.29+0.0055593d,+1960.78+0.00908437d,+3041.87+0.0140993d
2021-01-06 01:45:00 PST,+88031.3+375.725j,+14394.3+40.1699j,+11260.6+24.4142j,+14270.8+38.294j,+35638.2+241.338j,+12466.6+30.4621j,+1120.25+0.00519366d,+2961.77+0.0137414d,+720.105+0.00333797d,+1320.35+0.00612184d,+1200.29+0.00556491d,+840.143+0.00389459d,+4684.44+0.0217491d,+1520.47+0.00705025d,+840.142+0.00389236d,+880.156+0.00407781d,+760.117+0.00352149d,+680.093+0.00315065d,+1960.78+0.00908834d,+1520.47+0.00704622d,+3602.62+0.0167095d,+1000.2+0.00463421d,+240.012+0.00111231d,+1880.71+0.00872175d,+1800.65+0.00835021d,+1880.71+0.00872175d,+1000.2+0.00463676d,+1920.75+0.00890754d,+3202.07+0.0148574d
2021-01-06 02:00:00 PST,+84604+375.877j,+10257.2+20.2611j,+9252.63+15.9419j,+14390.2+38.4026j,+36460.9+257.499j,+14242.3+42.7455j,+1160.27+0.0053595d,+2841.63+0.0131349d,+600.072+0.00277122d,+600.063+0.00242635d,+920.17+0.00425002d,+680.093+0.00314086d,+2681.45+0.0123937d,+760.116+0.00351055d,+800.129+0.00369473d,+720.104+0.00332509d,+760.116+0.00350991d,+720.104+0.00332509d,+1680.57+0.00776305d,+1480.44+0.00683805d,+1880.71+0.00868828d,+1200.29+0.00554343d,+680.093+0.00314322d,+2080.87+0.00962271d,+1720.6+0.00795551d,+1800.65+0.00832594d,+1040.22+0.00480833d,+2321.09+0.0107346d,+2361.12+0.0109199d
2021-01-06 02:15:00 PST,+90749.6+413.099j,+9535.6+17.8385j,+9774.19+17.8618j,+18209.4+62.0416j,+36649+254.931j,+16580.5+59.2866j,+1000.2+0.00463175d,+3642.68+0.0168866d,+720.105+0.0033343d,+560.063+0.00259309d,+960.186+0.00444638d,+920.171+0.00426101d,+920.157+0.00390659d,+800.129+0.00370495d,+720.105+0.00333444d,+1040.22+0.00481735d,+840.142+0.00389046d,+720.105+0.00333444d,+2040.84+0.00945514d,+1560.49+0.0072283d,+1840.68+0.00852713d,+1000.2+0.00463195d,+680.093+0.00315397d,+3041.87+0.0141203d,+1720.6+0.00798272d,+1760.63+0.00816857d,+2200.98+0.0102134d,+2281.05+0.0105853d,+4043.31+0.0187766d
