# file...... Meter_652A_Power.real.csv
# date...... Tue May 11 22:32:20 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_652_A:measured_power.real,xfmr_meter_652_A_1:measured_power.real,xfmr_meter_652_A_2:measured_power.real,xfmr_meter_652_A_3:measured_power.real,xfmr_meter_652_A_4:measured_power.real,xfmr_meter_652_A_5:measured_power.real,house_meter_652_A_1:measured_power.real,house_meter_652_A_2:measured_power.real,house_meter_652_A_3:measured_power.real,house_meter_652_A_4:measured_power.real,house_meter_652_A_5:measured_power.real,house_meter_652_A_6:measured_power.real,house_meter_652_A_7:measured_power.real,house_meter_652_A_8:measured_power.real,house_meter_652_A_9:measured_power.real,house_meter_652_A_10:measured_power.real,house_meter_652_A_11:measured_power.real,house_meter_652_A_12:measured_power.real,house_meter_652_A_13:measured_power.real,house_meter_652_A_14:measured_power.real,house_meter_652_A_15:measured_power.real,house_meter_652_A_16:measured_power.real,house_meter_652_A_17:measured_power.real,house_meter_652_A_18:measured_power.real,house_meter_652_A_19:measured_power.real
2021-01-06 00:00:00 PST,1.2849e+005,2.3202e+004,1.9429e+004,2.5014e+004,4.5270e+004,1.5574e+004,1.0802e+003,4.2838e+003,1.0002e+003,4.0834e+003,2.2010e+003,3.8831e+003,3.1621e+003,3.4424e+003,1.0402e+003,9.2017e+002,1.3604e+003,6.8009e+002,2.2811e+003,2.4012e+003,7.8125e+003,2.8817e+003,4.8448e+003,1.8807e+003,2.7616e+003
2021-01-06 00:15:00 PST,9.9366e+004,2.1631e+004,1.4191e+004,2.2078e+004,3.3051e+004,8.4141e+003,1.1603e+003,2.7215e+003,2.1209e+003,2.6414e+003,1.0002e+003,3.6828e+003,3.3623e+003,4.8849e+003,1.6005e+003,1.7606e+003,1.4404e+003,8.8016e+002,2.0408e+003,1.9208e+003,3.5626e+003,9.6019e+002,1.0802e+003,1.8407e+003,2.9217e+003
2021-01-06 00:30:00 PST,9.6665e+004,1.7808e+004,1.3266e+004,2.1799e+004,3.0352e+004,1.3439e+004,1.1603e+003,2.8016e+003,1.1203e+003,1.2003e+003,1.6806e+003,3.2021e+003,3.2822e+003,3.3223e+003,1.5605e+003,1.3204e+003,1.4804e+003,9.6019e+002,1.8407e+003,2.9618e+003,1.8407e+003,1.2803e+003,1.0802e+003,1.7606e+003,2.7616e+003
2021-01-06 00:45:00 PST,8.9308e+004,1.7647e+004,1.1138e+004,2.2683e+004,3.0067e+004,7.7714e+003,1.4004e+003,2.7616e+003,8.8016e+002,1.4404e+003,1.2403e+003,3.1220e+003,3.6026e+003,3.1620e+003,1.0402e+003,1.2003e+003,1.9208e+003,8.0013e+002,1.9608e+003,1.2403e+003,1.8407e+003,1.1203e+003,2.7215e+003,1.8807e+003,2.6414e+003
2021-01-06 01:00:00 PST,1.2198e+005,1.6722e+004,1.4391e+004,2.4294e+004,3.7545e+004,2.9023e+004,1.8807e+003,2.8016e+003,1.0002e+003,1.3604e+003,1.0802e+003,1.9608e+003,3.4825e+003,3.1220e+003,2.7616e+003,1.0002e+003,2.4012e+003,8.8016e+002,2.8417e+003,1.7606e+003,1.8407e+003,8.8016e+002,1.4004e+003,1.9608e+003,2.2410e+003
2021-01-06 01:15:00 PST,1.3335e+005,1.2664e+004,1.1861e+004,2.2203e+004,6.3089e+004,2.3532e+004,1.2003e+003,2.8016e+003,9.2017e+002,1.9207e+003,2.4012e+003,8.8016e+002,1.0002e+003,1.5205e+003,2.4813e+003,6.4008e+002,1.6406e+003,7.2011e+002,2.0008e+003,1.5205e+003,2.0008e+003,8.4014e+002,4.0003e+002,1.7206e+003,3.1220e+003
2021-01-06 01:30:00 PST,8.1927e+004,1.0416e+004,1.0457e+004,1.4592e+004,2.5019e+004,2.1442e+004,1.0802e+003,2.6815e+003,6.4008e+002,1.0002e+003,1.1603e+003,1.6005e+003,1.2403e+003,1.0002e+003,6.8009e+002,8.0013e+002,1.0402e+003,8.4014e+002,1.9207e+003,1.0002e+003,1.9608e+003,2.2010e+003,2.0001e+002,1.9207e+003,1.7606e+003
2021-01-06 01:45:00 PST,8.8033e+004,1.4395e+004,1.1261e+004,1.4271e+004,3.5640e+004,1.2467e+004,1.1203e+003,2.9618e+003,7.2011e+002,1.3204e+003,1.2003e+003,8.4014e+002,4.6845e+003,1.5205e+003,8.4014e+002,8.8016e+002,7.6012e+002,6.8009e+002,1.9608e+003,1.5205e+003,3.6026e+003,1.0002e+003,2.4001e+002,1.8807e+003,1.8007e+003
2021-01-06 02:00:00 PST,8.4607e+004,1.0257e+004,9.2527e+003,1.4390e+004,3.6463e+004,1.4243e+004,1.1603e+003,2.8416e+003,6.0007e+002,6.0006e+002,9.2017e+002,6.8009e+002,2.6815e+003,7.6012e+002,8.0013e+002,7.2011e+002,7.6012e+002,7.2011e+002,1.6806e+003,1.4804e+003,1.8807e+003,1.2003e+003,6.8009e+002,2.0809e+003,1.7206e+003
2021-01-06 02:15:00 PST,9.0752e+004,9.5357e+003,9.7743e+003,1.8210e+004,3.6650e+004,1.6581e+004,1.0002e+003,3.6427e+003,7.2011e+002,5.6006e+002,9.6019e+002,9.2017e+002,9.2016e+002,8.0013e+002,7.2011e+002,1.0402e+003,8.4014e+002,7.2011e+002,2.0408e+003,1.5605e+003,1.8407e+003,1.0002e+003,6.8009e+002,3.0419e+003,1.7206e+003
