# file...... Meter_684_A_Power.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_684_A:measured_power,xfmr_meter_684_A_1:measured_power,xfmr_meter_684_A_2:measured_power,xfmr_meter_684_A_3:measured_power,xfmr_meter_684_A_4:measured_power,xfmr_meter_684_A_5:measured_power,house_meter_684_A_1:measured_power,house_meter_684_A_2:measured_power,house_meter_684_A_3:measured_power,house_meter_684_A_4:measured_power,house_meter_684_A_5:measured_power,house_meter_684_A_6:measured_power,house_meter_684_A_7:measured_power,house_meter_684_A_8:measured_power,house_meter_684_A_9:measured_power,house_meter_684_A_10:measured_power,house_meter_684_A_11:measured_power,house_meter_684_A_12:measured_power,house_meter_684_A_13:measured_power,house_meter_684_A_14:measured_power,house_meter_684_A_15:measured_power,house_meter_684_A_16:measured_power,house_meter_684_A_17:measured_power,house_meter_684_A_18:measured_power,house_meter_684_A_19:measured_power,house_meter_684_A_20:measured_power,house_meter_684_A_21:measured_power,house_meter_684_A_22:measured_power,house_meter_684_A_23:measured_power
2021-01-06 00:00:00 PST,+34398.9+47.1475j,+6325.77+7.41483j,+9495.13+17.5598j,+6366.18+7.64568j,+7007.43+9.23904j,+5204.25+5.15645j,+680.093+0.00314891d,+640.083+0.00296361d,+680.093+0.00314891d,+720.105+0.00333422d,+840.142+0.00389021d,+640.083+0.00296361d,+1320.35+0.00611496d,+800.129+0.00370487d,+1040.22+0.00481982d,+760.117+0.00352158d,+3961.91+0.0110894d,+760.117+0.00352158d,+360.026+0.00166771d,+1040.22+0.00481982d,+960.186+0.00444884d,+600.073+0.00277992d,+360.026+0.00166676d,+400.032+0.001852d,+1080.24+0.00500246d,+760.117+0.00351957d,+1960.4+0.00463352d,+440.039+0.00203725d,+1000.2+0.00463168d
2021-01-06 00:15:00 PST,+36963.9+52.8952j,+8492.48+14.1633j,+8370.77+13.2152j,+6285.61+7.26769j,+7047.61+9.36099j,+6767.29+8.74061j,+600.072+0.00276904d,+640.082+0.00295371d,+760.116+0.00350778d,+680.093+0.00313839d,+880.156+0.00406194d,+800.129+0.00369249d,+3322.22+0.0153472d,+800.129+0.00369249d,+760.116+0.00350771d,+760.105+0.0031579d,+2960.95+0.00733775d,+680.093+0.00313832d,+760.116+0.00350771d,+440.039+0.00203038d,+1040.22+0.00480083d,+960.185+0.00443132d,+760.116+0.00350638d,+800.129+0.00369101d,+600.072+0.00276793d,+1000.2+0.00461432d,+1040.22+0.00479901d,+800.129+0.00369101d,+600.072+0.00276793d
2021-01-06 00:30:00 PST,+34798.6+47.1301j,+8291.52+13.3518j,+6205.45+7.07533j,+5244.01+5.10156j,+7007.47+9.23268j,+8049.99+12.2365j,+640.082+0.00295364d,+640.082+0.00295364d,+680.093+0.00313832d,+640.082+0.00295364d,+960.185+0.00443131d,+880.156+0.00406184d,+3041.86+0.0140501d,+800.129+0.00369241d,+760.116+0.00350637d,+760.116+0.00350637d,+1120.23+0.00481241d,+680.093+0.00313713d,+560.063+0.00258333d,+800.129+0.00369101d,+800.129+0.00369101d,+720.104+0.00332175d,+560.063+0.00258288d,+440.039+0.00202926d,+1040.22+0.00479817d,+760.116+0.00350576d,+840.142+0.00387498d,+400.032+0.00184474d,+800.129+0.00369036d
2021-01-06 00:45:00 PST,+34199.4+46.7833j,+6045.17+6.7122j,+6045.29+6.75988j,+5965+6.52129j,+6566.71+8.16334j,+9577.11+18.4972j,+640.082+0.00294999d,+600.072+0.00276555d,+680.093+0.00313444d,+600.072+0.00276555d,+920.17+0.00424132d,+920.17+0.00424132d,+920.17+0.00424132d,+760.116+0.00350336d,+680.093+0.00313444d,+680.093+0.00313444d,+1040.22+0.00479489d,+600.072+0.00276555d,+480.046+0.00221228d,+480.046+0.00221228d,+960.185+0.00442583d,+1120.25+0.00516397d,+760.116+0.00350331d,+800.129+0.00368779d,+680.093+0.00313439d,+720.104+0.00331885d,+880.156+0.00405676d,+840.142+0.00387227d,+640.082+0.00294994d
2021-01-06 01:00:00 PST,+32555.2+42.662j,+5965.06+6.55713j,+5644.48+5.8533j,+4643.13+3.99863j,+7247.87+9.84245j,+9054.6+16.2914j,+600.073+0.00277475d,+640.083+0.0029598d,+720.104+0.00332994d,+600.073+0.00277475d,+960.186+0.00444056d,+840.142+0.00388521d,+920.171+0.00425544d,+680.093+0.00314487d,+600.073+0.00277459d,+800.117+0.0033484d,+720.104+0.00332974d,+640.083+0.00295963d,+720.104+0.00332974d,+600.073+0.00277459d,+800.129+0.00369989d,+760.116+0.00351482d,+400.032+0.00184916d,+440.039+0.00203413d,+920.171+0.00425441d,+440.039+0.00203413d,+600.073+0.00277408d,+480.046+0.0022191d,+800.129+0.00369922d
2021-01-06 01:15:00 PST,+29305.6+32.305j,+5724.64+6.0385j,+5965.1+6.58259j,+5364.05+5.29252j,+6005.84+6.94113j,+6245.95+7.35833j,+600.073+0.00277857d,+600.073+0.00277857d,+720.105+0.00333453d,+640.083+0.00296388d,+880.156+0.00407593d,+800.129+0.00370521d,+800.129+0.00370521d,+680.093+0.0031492d,+640.083+0.00296401d,+720.105+0.00333467d,+760.117+0.00352002d,+600.073+0.00277869d,+520.055+0.00240808d,+880.156+0.0040761d,+1120.25+0.00518852d,+720.105+0.00333467d,+680.093+0.00314899d,+680.093+0.00314899d,+680.093+0.00314899d,+680.093+0.00314899d,+720.105+0.00333431d,+640.083+0.00296368d,+600.073+0.00277839d
2021-01-06 01:30:00 PST,+27061.9+27.6706j,+6045.14+6.68857j,+4963.48+4.51733j,+5484.42+5.58455j,+6125.89+7.11471j,+4442.96+3.68671j,+760.116+0.00349751d,+640.082+0.00294506d,+800.128+0.00368168d,+640.082+0.00294506d,+960.185+0.00441844d,+760.116+0.00349751d,+760.116+0.00349751d,+720.104+0.00331335d,+640.082+0.00294448d,+720.104+0.0033127d,+680.093+0.00312859d,+640.082+0.00294448d,+640.082+0.00294448d,+440.039+0.00202409d,+760.116+0.00349682d,+440.039+0.00202409d,+560.063+0.00257654d,+560.063+0.00257654d,+1240.31+0.00570753d,+480.046+0.00220836d,+480.046+0.00220836d,+800.128+0.0036813d,+920.17+0.0042338d
2021-01-06 01:45:00 PST,+30504.6+34.677j,+5965+6.51377j,+6603.48+7.99392j,+6285.61+7.25764j,+5965.49+6.71313j,+5684.99+6.09949j,+720.104+0.00331554d,+760.116+0.00349983d,+800.128+0.00368412d,+600.072+0.00276275d,+880.155+0.00405272d,+720.104+0.00331554d,+800.128+0.00368412d,+680.093+0.00313127d,+760.116+0.00350023d,+760.116+0.00350023d,+840.142+0.00386886d,+600.072+0.00276307d,+960.185+0.00442187d,+880.155+0.00405319d,+1040.22+0.0047906d,+757.448+0.00348794d,+760.116+0.00350003d,+640.082+0.00294718d,+720.104+0.00331574d,+760.116+0.00350003d,+760.116+0.00350003d,+1200.29+0.00552782d,+760.116+0.00350003d
2021-01-06 02:00:00 PST,+27382.4+28.243j,+5764.65+6.06667j,+5484.22+5.49477j,+5764.88+6.15802j,+6085.83+7.02063j,+4282.75+3.42253j,+720.104+0.00330645d,+680.092+0.00312268d,+720.104+0.00330645d,+600.072+0.00275518d,+840.141+0.0038578d,+640.082+0.00293892d,+760.116+0.00349022d,+800.128+0.00367401d,+760.116+0.00349005d,+720.104+0.00330628d,+760.116+0.00349005d,+600.072+0.00275504d,+760.116+0.00349005d,+600.072+0.00275504d,+760.116+0.00349005d,+520.054+0.00238758d,+440.039+0.00202027d,+560.063+0.00257144d,+1240.31+0.00569622d,+480.046+0.00220398d,+640.082+0.00293892d,+960.184+0.00440923d,+960.184+0.00440923d
2021-01-06 02:15:00 PST,+31232.8+40.3454j,+5844.8+6.25385j,+6045.28+6.747j,+9815.22+18.3123j,+5604.98+5.97609j,+3922.48+2.94263j,+720.104+0.00331423d,+600.072+0.00276166d,+720.104+0.00331423d,+600.072+0.00276166d,+840.142+0.00386688d,+720.104+0.00331423d,+840.142+0.00386688d,+800.128+0.00368265d,+680.093+0.00313014d,+680.093+0.00313014d,+720.104+0.00331435d,+680.093+0.00313014d,+560.063+0.00257758d,+840.142+0.00386702d,+1320.35+0.0060785d,+560.063+0.00257758d,+1560.49+0.00718963d,+640.082+0.00294796d,+800.128+0.0036853d,+2441.2+0.0112513d,+800.128+0.0036853d,+2361.12+0.0108819d,+520.054+0.00239504d
