# file...... Meter_684_A_Power.real.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_684_A:measured_power.real,xfmr_meter_684_A_1:measured_power.real,xfmr_meter_684_A_2:measured_power.real,xfmr_meter_684_A_3:measured_power.real,xfmr_meter_684_A_4:measured_power.real,xfmr_meter_684_A_5:measured_power.real,house_meter_684_A_1:measured_power.real,house_meter_684_A_2:measured_power.real,house_meter_684_A_3:measured_power.real,house_meter_684_A_4:measured_power.real,house_meter_684_A_5:measured_power.real,house_meter_684_A_6:measured_power.real,house_meter_684_A_7:measured_power.real,house_meter_684_A_8:measured_power.real,house_meter_684_A_9:measured_power.real,house_meter_684_A_10:measured_power.real,house_meter_684_A_11:measured_power.real,house_meter_684_A_12:measured_power.real,house_meter_684_A_13:measured_power.real,house_meter_684_A_14:measured_power.real,house_meter_684_A_15:measured_power.real,house_meter_684_A_16:measured_power.real,house_meter_684_A_17:measured_power.real,house_meter_684_A_18:measured_power.real,house_meter_684_A_19:measured_power.real
2021-01-06 00:00:00 PST,3.4399e+004,6.3258e+003,9.4951e+003,6.3662e+003,7.0074e+003,5.2042e+003,6.8009e+002,6.4008e+002,6.8009e+002,7.2010e+002,8.4014e+002,6.4008e+002,1.3204e+003,8.0013e+002,1.0402e+003,7.6012e+002,3.9619e+003,7.6012e+002,3.6003e+002,1.0402e+003,9.6019e+002,6.0007e+002,3.6003e+002,4.0003e+002,1.0802e+003
2021-01-06 00:15:00 PST,3.6964e+004,8.4925e+003,8.3708e+003,6.2856e+003,7.0476e+003,6.7673e+003,6.0007e+002,6.4008e+002,7.6012e+002,6.8009e+002,8.8016e+002,8.0013e+002,3.3222e+003,8.0013e+002,7.6012e+002,7.6010e+002,2.9609e+003,6.8009e+002,7.6012e+002,4.4004e+002,1.0402e+003,9.6019e+002,7.6012e+002,8.0013e+002,6.0007e+002
2021-01-06 00:30:00 PST,3.4799e+004,8.2915e+003,6.2054e+003,5.2440e+003,7.0075e+003,8.0500e+003,6.4008e+002,6.4008e+002,6.8009e+002,6.4008e+002,9.6019e+002,8.8016e+002,3.0419e+003,8.0013e+002,7.6012e+002,7.6012e+002,1.1202e+003,6.8009e+002,5.6006e+002,8.0013e+002,8.0013e+002,7.2010e+002,5.6006e+002,4.4004e+002,1.0402e+003
2021-01-06 00:45:00 PST,3.4199e+004,6.0452e+003,6.0453e+003,5.9650e+003,6.5667e+003,9.5771e+003,6.4008e+002,6.0007e+002,6.8009e+002,6.0007e+002,9.2017e+002,9.2017e+002,9.2017e+002,7.6012e+002,6.8009e+002,6.8009e+002,1.0402e+003,6.0007e+002,4.8005e+002,4.8005e+002,9.6019e+002,1.1203e+003,7.6012e+002,8.0013e+002,6.8009e+002
2021-01-06 01:00:00 PST,3.2555e+004,5.9651e+003,5.6445e+003,4.6431e+003,7.2479e+003,9.0546e+003,6.0007e+002,6.4008e+002,7.2010e+002,6.0007e+002,9.6019e+002,8.4014e+002,9.2017e+002,6.8009e+002,6.0007e+002,8.0012e+002,7.2010e+002,6.4008e+002,7.2010e+002,6.0007e+002,8.0013e+002,7.6012e+002,4.0003e+002,4.4004e+002,9.2017e+002
2021-01-06 01:15:00 PST,2.9306e+004,5.7246e+003,5.9651e+003,5.3641e+003,6.0058e+003,6.2459e+003,6.0007e+002,6.0007e+002,7.2010e+002,6.4008e+002,8.8016e+002,8.0013e+002,8.0013e+002,6.8009e+002,6.4008e+002,7.2010e+002,7.6012e+002,6.0007e+002,5.2005e+002,8.8016e+002,1.1203e+003,7.2010e+002,6.8009e+002,6.8009e+002,6.8009e+002
2021-01-06 01:30:00 PST,2.7062e+004,6.0451e+003,4.9635e+003,5.4844e+003,6.1259e+003,4.4430e+003,7.6012e+002,6.4008e+002,8.0013e+002,6.4008e+002,9.6018e+002,7.6012e+002,7.6012e+002,7.2010e+002,6.4008e+002,7.2010e+002,6.8009e+002,6.4008e+002,6.4008e+002,4.4004e+002,7.6012e+002,4.4004e+002,5.6006e+002,5.6006e+002,1.2403e+003
2021-01-06 01:45:00 PST,3.0505e+004,5.9650e+003,6.6035e+003,6.2856e+003,5.9655e+003,5.6850e+003,7.2010e+002,7.6012e+002,8.0013e+002,6.0007e+002,8.8016e+002,7.2010e+002,8.0013e+002,6.8009e+002,7.6012e+002,7.6012e+002,8.4014e+002,6.0007e+002,9.6018e+002,8.8016e+002,1.0402e+003,7.5745e+002,7.6012e+002,6.4008e+002,7.2010e+002
2021-01-06 02:00:00 PST,2.7382e+004,5.7647e+003,5.4842e+003,5.7649e+003,6.0858e+003,4.2828e+003,7.2010e+002,6.8009e+002,7.2010e+002,6.0007e+002,8.4014e+002,6.4008e+002,7.6012e+002,8.0013e+002,7.6012e+002,7.2010e+002,7.6012e+002,6.0007e+002,7.6012e+002,6.0007e+002,7.6012e+002,5.2005e+002,4.4004e+002,5.6006e+002,1.2403e+003
2021-01-06 02:15:00 PST,3.1233e+004,5.8448e+003,6.0453e+003,9.8152e+003,5.6050e+003,3.9225e+003,7.2010e+002,6.0007e+002,7.2010e+002,6.0007e+002,8.4014e+002,7.2010e+002,8.4014e+002,8.0013e+002,6.8009e+002,6.8009e+002,7.2010e+002,6.8009e+002,5.6006e+002,8.4014e+002,1.3203e+003,5.6006e+002,1.5605e+003,6.4008e+002,8.0013e+002
