# file...... house_meter.csv
# date...... Sat May 15 03:01:01 2021
# user...... parallels
# host...... (null)
# target.... triplex_meter 14
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,measured_real_power,measured_voltage_1,measured_current_1
2021-01-06 00:00:00 UTC,+1080,+120.023+119.985d,-4.49707+7.79396j
2021-01-06 00:15:00 UTC,+1160,+120.021+119.984d,-4.83007+8.37147j
2021-01-06 00:30:00 UTC,+1160,+120.021+119.984d,-4.83007+8.37147j
2021-01-06 00:45:00 UTC,+1400,+120.018+119.98d,-5.82897+10.1041j
2021-01-06 01:00:00 UTC,+1880,+120.011+119.973d,-7.82633+13.5702j
2021-01-06 01:15:00 UTC,+1200,+120.021+119.983d,-4.99656+8.66024j
2021-01-06 01:30:00 UTC,+1080,+120.023+119.985d,-4.49707+7.79396j
2021-01-06 01:45:00 UTC,+1120,+120.022+119.984d,-4.66357+8.08271j
2021-01-06 02:00:00 UTC,+1160,+120.021+119.984d,-4.83007+8.37147j
2021-01-06 02:15:00 UTC,+1000,+120.024+119.986d,-4.16405+7.21648j
2021-01-06 02:30:00 UTC,+1240,+120.02+119.982d,-5.16305+8.949j
2021-01-06 02:45:00 UTC,+2360,+120.003+119.967d,-9.8231+17.0371j
2021-01-06 03:00:00 UTC,+880,+120.026+119.988d,-3.6645+6.3503j
2021-01-06 03:15:00 UTC,+680,+120.029+119.99d,-2.83183+4.90678j
2021-01-06 03:30:00 UTC,+960,+120.024+119.986d,-3.99754+6.92774j
2021-01-06 03:45:00 UTC,+920,+120.025+119.987d,-3.83102+6.63902j
2021-01-06 04:00:00 UTC,+760,+120.027+119.989d,-3.16491+5.48417j
2021-01-06 04:15:00 UTC,+1440,+120.017+119.98d,-5.99543+10.3929j
2021-01-06 04:30:00 UTC,+800,+120.027+119.989d,-3.33145+5.77287j
2021-01-06 04:45:00 UTC,+760,+120.027+119.989d,-3.16491+5.48417j
2021-01-06 05:00:00 UTC,+560,+120.03+119.992d,-2.33218+4.04075j
2021-01-06 05:15:00 UTC,+560,+120.03+119.992d,-2.33218+4.04075j
2021-01-06 05:30:00 UTC,+1280,+120.02+119.982d,-5.32953+9.23778j
2021-01-06 05:45:00 UTC,+600,+120.03+119.991d,-2.49874+4.32942j
2021-01-06 06:00:00 UTC,+560,+120.03+119.992d,-2.33218+4.04075j
2021-01-06 06:15:00 UTC,+560,+120.03+119.992d,-2.33218+4.04075j
2021-01-06 06:30:00 UTC,+760,+120.027+119.989d,-3.16491+5.48417j
2021-01-06 06:45:00 UTC,+600,+120.03+119.991d,-2.49874+4.32942j
2021-01-06 07:00:00 UTC,+760,+120.027+119.989d,-3.16491+5.48417j
2021-01-06 07:15:00 UTC,+600,+120.03+119.991d,-2.49874+4.32942j
2021-01-06 07:30:00 UTC,+720,+120.028+119.99d,-2.99837+5.19547j
2021-01-06 07:45:00 UTC,+680,+120.029+119.99d,-2.83183+4.90678j
2021-01-06 08:00:00 UTC,+600,+120.03+119.991d,-2.49874+4.32942j
2021-01-06 08:15:00 UTC,+1080,+120.023+119.985d,-4.49707+7.79396j
2021-01-06 08:30:00 UTC,+1440,+120.017+119.98d,-5.99543+10.3929j
2021-01-06 08:45:00 UTC,+1960,+120.009+119.972d,-8.15916+14.1479j
2021-01-06 09:00:00 UTC,+680,+120.029+119.99d,-2.83183+4.90678j
2021-01-06 09:15:00 UTC,+840,+120.026+119.988d,-3.49797+6.06158j
